lake,timestamp,download_timestamp,ph,temperature,dissolved_ammonia,cod,bod,dissolved_oxygen,turbidity,conductivity,chloride,nitrate,toc,level,level_2
Agara Lake,2023-08-16 23:30:00,2023-08-17 09:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 05:30:00,2023-08-17 10:30:00,6.79,25.1,0.07,487.35,108.76,8.0,34.79,1355.0,223.92,23.0,387.6,1.29,
Bellandhur Lake,2023-08-17 05:30:00,2023-08-17 10:30:00,6.93,26.6,12.87,-,-,0.58,-,1208.0,-,-,-,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 10:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 06:30:00,2023-08-17 11:30:00,4.97,24.8,0.09,476.11,105.51,9.22,35.11,1354.0,219.3,23.97,383.69,1.29,
Bellandhur Lake,2023-08-17 06:30:00,2023-08-17 11:30:00,6.92,26.6,13.42,-,-,0.58,-,1243.0,-,-,-,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 11:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 07:30:00,2023-08-17 12:30:00,4.39,25.2,0.12,471.12,108.77,9.32,36.44,1355.0,216.09,23.36,380.63,1.29,
Bellandhur Lake,2023-08-17 07:30:00,2023-08-17 12:30:00,7.01,26.5,11.71,-,-,0.58,-,1257.0,-,-,-,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 12:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 08:30:00,2023-08-17 13:30:00,4.11,26.0,0.23,486.19,110.98,9.43,36.32,1354.0,222.65,22.95,393.08,1.29,
Bellandhur Lake,2023-08-17 08:30:00,2023-08-17 13:30:00,7.06,26.7,12.3,-,-,0.58,-,1278.0,-,-,-,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 13:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 09:30:00,2023-08-17 14:30:00,3.96,25.4,0.25,498.73,120.42,9.22,36.53,1354.0,228.05,30.16,398.19,1.29,
Bellandhur Lake,2023-08-17 09:30:00,2023-08-17 14:30:00,7.25,26.8,7.58,-,-,0.58,-,1299.0,-,-,-,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 14:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:30:00,2023-08-17 15:30:00,3.84,26.0,0.4,498.93,118.28,9.6,36.4,1355.0,228.11,29.1,400.16,1.29,
Bellandhur Lake,2023-08-17 10:30:00,2023-08-17 15:30:00,7.2,26.8,9.47,-,-,0.58,-,1308.0,-,-,-,1.2,
Agara Lake,2023-08-17 10:30:00,2023-08-17 15:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 16:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 11:30:00,2023-08-17 16:30:00,7.18,26.6,9.29,-,-,0.58,-,1200.0,-,-,-,1.2,
Agara Lake,2023-08-17 11:30:00,2023-08-17 16:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 17:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 12:30:00,2023-08-17 17:30:00,7.16,26.8,9.03,1009.28,272.42,0.58,101.71,1203.0,149.27,22.13,2136.13,1.2,
Agara Lake,2023-08-17 12:30:00,2023-08-17 17:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 18:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 13:30:00,2023-08-17 18:30:00,7.14,27.3,10.48,-,-,0.58,-,1215.0,-,-,-,1.2,
Agara Lake,2023-08-17 13:30:00,2023-08-17 18:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 19:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 14:30:00,2023-08-17 19:30:00,7.09,28.0,11.07,-,-,0.57,-,1367.0,-,-,-,1.2,
Agara Lake,2023-08-17 14:30:00,2023-08-17 19:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 20:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 15:30:00,2023-08-17 20:30:00,7.07,28.6,9.89,586.76,162.33,0.56,70.56,1260.0,119.86,22.45,924.1,1.2,
Agara Lake,2023-08-17 15:30:00,2023-08-17 20:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 21:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 16:30:00,2023-08-17 21:30:00,7.04,29.1,9.67,579.94,156.01,0.56,73.05,1253.0,121.47,22.45,890.45,1.2,
Agara Lake,2023-08-17 16:30:00,2023-08-17 21:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 22:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 17:30:00,2023-08-17 22:30:00,7.08,29.1,8.4,580.76,161.11,0.56,70.77,1221.0,120.31,22.44,906.53,1.2,
Agara Lake,2023-08-17 17:30:00,2023-08-17 22:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 10:45:00,2023-08-17 23:30:00,3.79,26.0,0.45,479.52,111.74,9.45,35.57,1355.0,219.5,27.22,390.58,1.29,
Bellandhur Lake,2023-08-17 18:30:00,2023-08-17 23:30:00,7.01,29.0,10.52,559.03,155.21,0.56,71.18,1188.0,120.75,22.46,867.82,1.2,
Agara Lake,2023-08-17 18:30:00,2023-08-17 23:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 19:30:00,2023-08-18 00:30:00,7.08,27.9,1.11,555.41,123.73,0.78,33.16,1361.0,253.54,23.02,424.33,1.29,
Bellandhur Lake,2023-08-17 19:30:00,2023-08-18 00:30:00,7.01,28.8,10.55,545.37,154.25,0.56,65.28,1173.0,115.97,22.46,837.97,1.2,
Agara Lake,2023-08-17 19:30:00,2023-08-18 00:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17,2023-08-18 01:30:00,7.09,27.6,1.04,567.34,125.15,0.78,32.75,1361.0,260.03,24.24,425.2,1.29,20:30:00
Bellandhur Lake,2023-08-17,2023-08-18 01:30:00,7.07,28.6,9.14,557.24,157.92,0.56,65.15,1172.0,115.8,22.46,873.24,1.2,20:30:00
Agara Lake,2023-08-17,2023-08-18 01:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,20:30:00
Varthur Lake,2023-08-17 21:30:00,2023-08-18 02:30:00,7.1,27.3,1.02,557.41,121.67,0.78,34.52,1361.0,255.66,23.93,421.12,1.29,
Bellandhur Lake,2023-08-17 21:30:00,2023-08-18 02:30:00,7.0,28.2,12.07,545.44,153.48,0.57,66.85,1196.0,117.13,22.49,835.28,1.2,
Agara Lake,2023-08-17 21:30:00,2023-08-18 02:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 22:30:00,2023-08-18 03:30:00,7.1,27.1,1.02,569.9,124.55,0.78,33.02,1361.0,261.79,24.62,425.47,1.29,
Bellandhur Lake,2023-08-17 22:30:00,2023-08-18 03:30:00,7.03,27.9,11.47,561.97,161.27,0.57,62.18,1174.0,113.28,22.46,874.1,1.2,
Agara Lake,2023-08-17 22:30:00,2023-08-18 03:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 23:30:00,2023-08-18 04:30:00,7.09,27.0,1.1,588.89,127.43,0.78,32.63,1360.0,269.95,24.64,435.65,1.29,
Bellandhur Lake,2023-08-17 23:30:00,2023-08-18 04:30:00,7.12,27.5,8.6,553.14,155.73,0.57,59.93,1176.0,111.6,22.48,860.24,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 04:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 00:30:00,2023-08-18 05:30:00,7.1,26.9,1.06,572.62,125.89,0.78,32.6,1360.0,261.29,21.31,432.96,1.29,
Bellandhur Lake,2023-08-18 00:30:00,2023-08-18 05:30:00,7.11,27.2,8.91,555.24,157.2,0.58,59.74,1201.0,111.16,22.46,868.28,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 05:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 01:30:00,2023-08-18 06:30:00,7.1,26.7,1.03,597.76,131.43,0.79,32.53,1359.0,272.72,22.03,443.86,1.29,
Bellandhur Lake,2023-08-18 01:30:00,2023-08-18 06:30:00,7.04,26.9,11.43,555.81,157.57,0.58,56.7,1204.0,108.44,22.44,882.51,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 06:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 02:30:00,2023-08-18 07:30:00,7.12,26.7,0.98,588.11,135.14,0.79,31.99,1359.0,266.09,17.0,445.01,1.29,
Bellandhur Lake,2023-08-18 02:30:00,2023-08-18 07:30:00,7.02,26.6,12.26,-,-,0.58,-,1217.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 07:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 03:30:00,2023-08-18 08:30:00,7.13,26.5,0.89,576.88,130.35,0.79,32.28,1360.0,262.44,19.88,437.19,1.29,
Bellandhur Lake,2023-08-18 03:30:00,2023-08-18 08:30:00,7.01,26.4,12.42,-,-,0.58,-,1240.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 08:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 04:30:00,2023-08-18 09:30:00,7.17,26.4,0.82,582.0,134.52,0.79,32.56,1360.0,263.88,18.78,444.11,1.29,
Bellandhur Lake,2023-08-18 04:30:00,2023-08-18 09:30:00,6.93,26.4,13.01,-,-,0.59,-,1244.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 09:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 05:30:00,2023-08-18 10:30:00,7.46,25.5,0.57,574.95,137.32,0.82,33.14,1359.0,259.66,16.97,439.87,1.29,
Bellandhur Lake,2023-08-18 05:30:00,2023-08-18 10:30:00,6.99,26.3,11.78,-,-,0.58,-,1273.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 10:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 06:30:00,2023-08-18 11:30:00,7.37,24.3,0.07,536.85,130.52,6.79,35.24,1359.0,243.2,18.2,417.28,1.29,
Bellandhur Lake,2023-08-18 06:30:00,2023-08-18 11:30:00,7.12,26.2,9.49,-,-,0.59,-,1289.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 11:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 07:30:00,2023-08-18 12:30:00,5.15,24.3,0.16,490.79,119.07,9.33,36.64,1359.0,222.95,19.67,393.92,1.29,
Bellandhur Lake,2023-08-18 07:30:00,2023-08-18 12:30:00,7.15,26.2,9.79,-,-,0.59,-,1271.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 12:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 08:30:00,2023-08-18 13:30:00,4.82,24.5,0.35,414.65,98.82,9.27,37.87,1360.0,190.2,20.42,353.05,1.29,
Bellandhur Lake,2023-08-18 08:30:00,2023-08-18 13:30:00,7.18,26.3,10.02,-,-,0.59,-,1310.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 13:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 09:30:00,2023-08-18 14:30:00,4.24,25.2,0.34,424.72,100.51,9.62,37.66,1359.0,194.77,20.95,360.71,1.29,
Bellandhur Lake,2023-08-18 09:30:00,2023-08-18 14:30:00,7.2,26.3,10.32,-,-,0.58,-,1317.0,-,-,-,1.2,
Agara Lake,2023-08-17 22:45:00,2023-08-18 14:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 10:30:00,2023-08-18 15:30:00,3.84,25.8,0.41,423.36,95.6,9.57,37.5,1361.0,195.34,23.94,359.16,1.29,
Bellandhur Lake,2023-08-18 10:30:00,2023-08-18 15:30:00,7.25,26.3,9.24,1661.5,-,0.58,0.0,1268.0,46.09,21.43,-,1.2,
Agara Lake,2023-08-18 10:30:00,2023-08-18 15:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 11:30:00,2023-08-18 16:30:00,4.47,26.2,0.02,415.5,93.33,4.95,37.87,1361.0,191.93,24.22,351.72,1.29,
Bellandhur Lake,2023-08-18 11:30:00,2023-08-18 16:30:00,7.26,26.1,9.03,1607.8,329.69,0.58,0.0,1237.0,49.27,20.73,4403.15,1.2,
Agara Lake,2023-08-18 11:30:00,2023-08-18 16:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 12:30:00,2023-08-18 17:30:00,7.19,26.7,0.14,439.42,103.7,0.8,36.79,1362.0,202.24,24.81,361.29,1.29,
Bellandhur Lake,2023-08-18 12:30:00,2023-08-18 17:30:00,7.18,26.1,9.71,-,-,0.59,-,1220.0,-,-,-,1.2,
Agara Lake,2023-08-18 12:30:00,2023-08-18 17:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 13:30:00,2023-08-18 18:30:00,7.13,27.4,0.26,434.54,99.45,0.78,35.63,1363.0,200.21,24.81,359.83,1.29,
Bellandhur Lake,2023-08-18 13:30:00,2023-08-18 18:30:00,7.18,26.4,10.35,-,-,0.58,-,1230.0,-,-,-,1.2,
Agara Lake,2023-08-18 13:30:00,2023-08-18 18:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 14:30:00,2023-08-18 19:30:00,7.14,27.6,0.28,429.54,95.19,0.78,36.09,1363.0,198.57,25.64,356.7,1.29,
Bellandhur Lake,2023-08-18 14:30:00,2023-08-18 19:30:00,7.16,27.1,10.59,1745.52,-,0.58,72.76,1301.0,127.12,22.17,-,1.2,
Agara Lake,2023-08-18 14:30:00,2023-08-18 19:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 15:30:00,2023-08-18 20:30:00,7.12,28.0,0.41,456.28,99.92,0.78,35.06,1364.0,211.06,26.35,368.55,1.29,
Bellandhur Lake,2023-08-18 15:30:00,2023-08-18 20:30:00,7.09,27.7,9.87,1695.45,-,0.57,13.23,1297.0,71.3,20.44,-,1.2,
Agara Lake,2023-08-18 15:30:00,2023-08-18 20:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 16:30:00,2023-08-18 21:30:00,7.12,28.2,0.57,481.56,103.5,0.78,33.41,1363.0,222.57,25.68,381.31,1.29,
Bellandhur Lake,2023-08-18 16:34:00,2023-08-18 21:30:00,7.02,28.1,15.15,504.06,139.48,0.75,63.81,1207.0,111.33,22.46,739.14,1.3,
Agara Lake,2023-08-18 16:30:00,2023-08-18 21:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 17:30:00,2023-08-18 22:30:00,7.08,28.0,1.04,485.9,104.1,0.78,33.32,1364.0,224.7,25.77,382.54,1.29,
Bellandhur Lake,2023-08-18 17:30:00,2023-08-18 22:30:00,6.72,28.2,39.27,558.93,151.72,0.75,67.71,1213.0,114.65,22.47,925.41,1.3,
Agara Lake,2023-08-18 17:30:00,2023-08-18 22:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 18:30:00,2023-08-18 23:30:00,7.1,27.7,1.2,470.35,105.18,0.78,34.68,1365.0,217.19,25.37,373.7,1.29,
Bellandhur Lake,2023-08-18 18:30:00,2023-08-18 23:30:00,6.44,28.2,99.74,1449.93,317.56,0.74,63.84,1199.0,108.07,20.95,3445.42,1.3,
Agara Lake,2023-08-18 18:30:00,2023-08-18 23:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 19:30:00,2023-08-19 00:30:00,7.09,27.4,1.44,468.62,103.37,0.78,35.29,1365.0,217.05,26.45,370.3,1.29,
Bellandhur Lake,2023-08-18 19:30:00,2023-08-19 00:30:00,6.44,28.0,104.93,1241.47,323.04,0.75,135.12,1237.0,175.53,22.21,2515.72,1.3,
Agara Lake,2023-08-18 19:30:00,2023-08-19 00:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18,2023-08-19 01:30:00,7.09,27.1,1.4,461.21,101.59,0.78,36.52,1364.0,213.97,26.57,366.33,1.29,20:30:00
Bellandhur Lake,2023-08-18,2023-08-19 01:30:00,6.43,27.6,110.97,1032.42,273.87,0.75,133.51,1214.0,173.81,21.99,1972.72,1.3,20:30:00
Agara Lake,2023-08-18,2023-08-19 01:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,20:30:00
Varthur Lake,2023-08-18 21:30:00,2023-08-19 02:30:00,7.1,26.8,1.4,470.88,103.85,0.79,35.44,1363.0,218.18,25.64,371.18,1.29,
Bellandhur Lake,2023-08-18 21:30:00,2023-08-19 02:30:00,6.38,27.4,125.75,445.06,125.45,0.76,50.64,1164.0,100.96,22.5,612.33,1.3,
Agara Lake,2023-08-18 21:30:00,2023-08-19 02:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 22:30:00,2023-08-19 03:30:00,7.09,26.6,1.5,467.44,103.21,0.79,36.86,1363.0,216.99,26.94,367.47,1.29,
Bellandhur Lake,2023-08-18 22:30:00,2023-08-19 03:30:00,6.36,27.1,137.14,418.68,122.2,0.76,46.02,1120.0,97.41,22.51,557.22,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 03:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-18 23:30:00,2023-08-19 04:30:00,7.08,26.6,1.59,468.15,104.11,0.79,35.61,1362.0,216.94,26.94,369.09,1.29,
Bellandhur Lake,2023-08-18 23:30:00,2023-08-19 04:30:00,6.37,26.7,138.71,415.15,123.2,0.76,44.19,1115.0,96.1,22.51,549.63,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 04:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 00:30:00,2023-08-19 05:30:00,7.08,26.4,1.55,455.92,104.07,0.79,36.81,1363.0,210.3,23.91,367.77,1.29,
Bellandhur Lake,2023-08-19 00:30:00,2023-08-19 05:30:00,6.33,26.4,148.83,406.63,119.56,0.77,47.71,1110.0,98.87,22.53,525.96,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 05:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 01:30:00,2023-08-19 06:30:00,7.08,26.3,1.59,625.04,148.26,0.79,31.01,1363.0,284.18,18.13,447.35,1.29,
Bellandhur Lake,2023-08-19 01:30:00,2023-08-19 06:30:00,6.34,26.2,147.37,401.91,117.34,0.77,47.52,1106.0,98.66,22.54,517.19,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 06:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 02:30:00,2023-08-19 07:30:00,7.11,26.3,1.46,662.64,167.33,0.79,28.59,1363.0,298.99,14.27,465.23,1.29,
Bellandhur Lake,2023-08-19 02:30:00,2023-08-19 07:30:00,6.35,26.0,142.4,418.23,120.7,0.77,45.67,1110.0,97.17,22.5,568.57,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 07:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 03:30:00,2023-08-19 08:30:00,7.13,26.1,1.24,521.07,128.33,0.79,33.88,1363.0,236.9,18.74,401.85,1.29,
Bellandhur Lake,2023-08-19 03:30:00,2023-08-19 08:30:00,6.35,25.8,143.95,396.32,117.66,0.78,44.93,1118.0,96.73,22.52,508.87,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 08:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 04:30:00,2023-08-19 09:30:00,7.24,25.9,1.28,477.66,111.18,0.8,36.58,1361.0,218.87,21.17,382.38,1.29,
Bellandhur Lake,2023-08-19 04:30:00,2023-08-19 09:30:00,6.3,25.7,146.27,396.81,118.14,0.78,47.53,1129.0,98.59,22.52,503.48,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 09:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 05:30:00,2023-08-19 10:30:00,7.87,24.4,0.04,451.59,102.33,1.52,37.23,1362.0,208.01,22.8,367.44,1.29,
Bellandhur Lake,2023-08-19 05:15:00,2023-08-19 10:30:00,6.3,25.7,146.31,400.81,117.95,0.78,45.6,1138.0,97.41,22.5,526.79,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 10:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 06:30:00,2023-08-19 11:30:00,5.38,24.2,0.26,451.69,104.55,8.71,37.41,1362.0,207.82,22.66,367.56,1.29,
Bellandhur Lake,2023-08-19 06:30:00,2023-08-19 11:30:00,6.34,25.8,153.7,391.45,115.9,0.78,45.59,1186.0,97.81,22.5,515.64,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 11:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 07:30:00,2023-08-19 12:30:00,4.25,24.3,0.22,432.56,100.03,9.29,37.41,1362.0,199.18,23.23,359.64,1.29,
Bellandhur Lake,2023-08-19 07:30:00,2023-08-19 12:30:00,6.4,25.9,149.44,486.06,138.57,0.77,56.9,1216.0,107.44,22.49,786.84,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 12:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 08:30:00,2023-08-19 13:30:00,3.92,24.3,0.29,419.36,100.88,9.54,38.49,1363.0,191.89,20.01,354.66,1.29,
Bellandhur Lake,2023-08-19 08:30:00,2023-08-19 13:30:00,6.47,26.0,134.29,584.34,158.98,0.77,68.96,1273.0,117.4,22.4,1036.53,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 13:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 09:30:00,2023-08-19 14:30:00,3.79,25.0,0.41,405.29,102.98,9.71,39.43,1363.0,184.68,19.4,350.47,1.29,
Bellandhur Lake,2023-08-19 09:30:00,2023-08-19 14:30:00,6.51,26.0,125.96,666.24,176.98,0.77,72.56,1297.0,121.99,22.36,1252.17,1.3,
Agara Lake,2023-08-18 22:00:00,2023-08-19 14:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 10:30:00,2023-08-19 15:30:00,3.57,25.0,0.52,437.88,103.15,9.12,38.77,1362.0,201.81,26.72,364.25,1.29,
Bellandhur Lake,2023-08-19 10:30:00,2023-08-19 15:30:00,6.53,26.1,122.51,686.51,174.89,0.77,76.02,1303.0,124.32,22.3,1324.2,1.3,
Agara Lake,2023-08-19 10:30:00,2023-08-19 15:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 11:30:00,2023-08-19 16:30:00,3.72,25.7,0.47,426.32,101.07,5.99,38.73,1362.0,195.66,21.32,359.53,1.29,
Bellandhur Lake,2023-08-19 11:30:00,2023-08-19 16:30:00,6.52,26.0,127.73,631.2,174.38,0.77,65.9,1311.0,116.56,22.38,1183.43,1.3,
Agara Lake,2023-08-19 11:30:00,2023-08-19 16:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-19 12:30:00,2023-08-19 17:30:00,7.19,26.3,1.09,407.59,97.42,0.79,38.12,1363.0,187.41,23.4,346.92,1.29,
Bellandhur Lake,2023-08-19 12:30:00,2023-08-19 17:30:00,6.48,25.5,144.24,602.33,171.43,0.78,66.05,1166.0,116.1,22.43,1086.71,1.3,
