stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2022-09-23 11:30:00,7.35,26.80,0.42,1.89,30.4,2.1,4.2,6.08,3.97,2022092311
CHIKKABANAVARA 5 MLD,2022-09-23 11:30:00,7.26,26.20,0.63,3.90,38.6,7.91,10.56,14.70,4.24,2022092311
KADUGODI 6 MLD STP,2022-08-11 04:15:00,7.51,24.60,0.70,2.88,271.76,128.67,26.06,7.49,15.75,2022092311
HORAMAVU 20 MLD,2022-09-05 10:15:00,7.23,26.90,0.98,2.20,28.21,5.9,10.69,8.86,0.00,2022092311
K AND C VALLEY 60 MLD,2022-09-23 11:15:00,7.27,27.10,0.45,3.80,50.52,0.0,16.64,8.14,-,2022092311
NAGASANDRA 20 MLD,2022-09-09 23:30:00,6.81,26.60,0.37,2.00,40.86,5.45,6.35,12.33,3.99,2022092311
RAJACANAL 40 MLD,2022-09-23 11:15:00,7.03,26.80,0.90,3.40,31.02,3.65,8.23,8.13,4.57,2022092311
YELLAMALAPACHETTY 15 MLD,2022-09-23 11:30:00,7.1,26.50,0.22,1.20,33.64,5.26,5.89,4.79,0.35,2022092311
BELLANDUR 90 MLD,2022-08-22 14:00:00,7.75,27.30,0.51,1.00,25.39,2.83,6.65,8.81,-,2022092311
DODDABELE 20 MLD,2022-09-22 22:15:00,7.1,26.10,0.14,2.40,37.51,6.96,5.15,11.78,6.51,2022092311
MALLATHALLI 5 MLD,2022-09-06 16:15:00,6.35,28.30,199.11,696.89,36.12,0.0,51.88,0.00,4.31,2022092311
NAGASANDRA OLD 20 MLD,2022-09-23 11:30:00,6.87,26.10,3.45,5.18,52.08,7.93,22.72,11.06,3.96,2022092311
4MLD Cubbon Park TTP,2022-09-23 11:15:00,7.06,27.20,0.74,4.66,17.3,1.16,0.92,5.02,2.96,2022092311
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.0,0.0,0.0,-,-,2022092311
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.0,0.0,0.0,-,-,2022092311
KADABEESANAHALLI 50 MLD,2022-09-03 23:00:00,8.07,24.60,0.85,4.25,55.94,9.5,17.38,7.52,5.65,2022092311
STP Sarakki 5 MLD,2022-09-23 09:30:00,7.01,27.00,-,-,18.66,4.74,5.68,3.73,-,2022092311
Kempambudhi STP 1 MLD,2022-09-23 11:30:00,7.27,22.80,0.48,4.85,36.94,4.25,7.66,5.73,4.75,2022092311
Mailasandra STP 75 MLD,2022-09-23 11:15:00,7.79,24.70,1.37,3.00,39.4,8.9,9.3,3.11,2.50,2022092311
60 MLD V.Valley TTP,2022-09-23 09:00:00,7.63,25.60,6.00,19.20,21.15,2.75,3.97,5.86,4.90,2022092311
KR Puram STP 20 MLD,2022-09-23 11:30:00,7.07,25.10,1.93,3.86,49.97,7.0,32.3,8.18,2.86,2022092311
1.5 MLD Lalbagh TTP,2022-09-23 11:30:00,7.29,40.50,0.53,2.65,17.48,1.37,0.88,3.66,5.16,2022092311
35MLD Agaram STP,2022-09-22 21:15:00,7.01,27.40,1.42,5.82,23.2,3.5,5.9,3.15,-,2022092311
Chikka_Bagur_5_MLD_STP,2022-09-23 11:34:00,7.95,-,-,-,41.5,6.6,6.9,13.20,-,2022092311
2MLD Ulsoor STP,2022-09-23 12:00:00,7.36,26.70,0.42,1.89,29.8,2.1,4.0,5.96,3.98,2022092312
CHIKKABANAVARA 5 MLD,2022-09-23 12:00:00,7.24,26.40,0.64,3.90,38.61,7.89,10.57,14.45,4.21,2022092312
KADUGODI 6 MLD STP,2022-08-11 04:15:00,7.51,24.60,0.70,2.88,271.76,128.67,26.06,7.49,15.75,2022092312
HORAMAVU 20 MLD,2022-09-05 10:15:00,7.23,26.90,0.98,2.20,28.21,5.9,10.69,8.86,0.00,2022092312
K AND C VALLEY 60 MLD,2022-09-23 11:45:00,7.27,27.20,0.48,3.70,50.66,0.0,16.71,6.21,-,2022092312
NAGASANDRA 20 MLD,2022-09-09 23:30:00,6.81,26.60,0.37,2.00,40.86,5.45,6.35,12.33,3.99,2022092312
RAJACANAL 40 MLD,2022-09-22 20:30:00,7.02,26.30,0.92,3.40,29.53,3.6,5.63,8.15,4.56,2022092312
YELLAMALAPACHETTY 15 MLD,2022-09-23 12:00:00,7.17,26.70,0.23,1.20,33.62,5.24,5.73,4.77,3.93,2022092312
BELLANDUR 90 MLD,2022-08-22 14:00:00,7.75,27.30,0.51,1.00,25.39,2.83,6.65,8.81,-,2022092312
DODDABELE 20 MLD,2022-09-22 22:15:00,7.1,26.10,0.14,2.40,37.51,6.96,5.15,11.78,6.51,2022092312
MALLATHALLI 5 MLD,2022-09-06 16:15:00,6.35,28.30,199.11,696.89,36.12,0.0,51.88,0.00,4.31,2022092312
NAGASANDRA OLD 20 MLD,2022-09-23 12:00:00,6.85,26.20,3.50,5.25,52.27,7.89,23.65,10.91,3.82,2022092312
4MLD Cubbon Park TTP,2022-09-23 12:00:00,7.06,27.30,0.73,4.66,17.3,1.16,0.91,5.02,2.92,2022092312
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.0,0.0,0.0,-,-,2022092312
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.0,0.0,0.0,-,-,2022092312
KADABEESANAHALLI 50 MLD,2022-09-03 23:00:00,8.07,24.60,0.85,4.25,55.94,9.5,17.38,7.52,5.65,2022092312
STP Sarakki 5 MLD,2022-09-23 09:30:00,7.01,27.00,-,-,18.66,4.74,5.68,3.73,-,2022092312
Kempambudhi STP 1 MLD,2022-09-23 12:00:00,7.27,22.80,0.45,4.55,37.3,4.22,7.71,5.46,3.97,2022092312
Mailasandra STP 75 MLD,2022-09-23 11:45:00,7.8,24.90,1.36,3.06,39.48,8.92,9.3,2.75,2.55,2022092312
60 MLD V.Valley TTP,2022-09-23 09:00:00,7.63,25.60,6.00,19.20,21.15,2.75,3.97,5.86,4.90,2022092312
KR Puram STP 20 MLD,2022-09-23 11:45:00,7.08,25.20,1.89,3.78,50.05,7.01,32.52,8.13,3.55,2022092312
1.5 MLD Lalbagh TTP,2022-09-23 12:00:00,7.28,42.60,0.51,2.60,17.49,1.37,0.88,3.58,5.01,2022092312
35MLD Agaram STP,2022-09-23 12:00:00,7.03,27.40,3.14,12.87,21.0,4.4,3.8,3.96,-,2022092312
Chikka_Bagur_5_MLD_STP,2022-09-23 12:04:00,7.94,26.60,-,-,41.1,6.4,6.5,12.80,-,2022092312
2MLD Ulsoor STP,2022-09-23 13:00:00,7.36,26.70,0.43,1.94,29.60,2.10,3.90,5.92,3.97,2022092313
CHIKKABANAVARA 5 MLD,2022-09-23 12:45:00,7.29,26.60,0.65,3.90,38.61,7.89,10.58,14.68,4.38,2022092313
KADUGODI 6 MLD STP,2022-08-11 04:15:00,7.51,24.60,0.70,2.88,271.76,128.67,26.06,7.49,15.75,2022092313
HORAMAVU 20 MLD,2022-09-05 10:15:00,7.23,26.90,0.98,2.20,28.21,5.90,10.69,8.86,0.00,2022092313
K AND C VALLEY 60 MLD,2022-09-23 12:45:00,7.23,27.40,0.51,3.60,50.54,0.00,16.65,6.82,-,2022092313
NAGASANDRA 20 MLD,2022-09-09 23:30:00,6.81,26.60,0.37,2.00,40.86,5.45,6.35,12.33,3.99,2022092313
RAJACANAL 40 MLD,2022-09-23 12:45:00,7.03,27.00,0.91,3.40,30.23,3.63,6.85,8.11,4.57,2022092313
YELLAMALAPACHETTY 15 MLD,2022-09-23 13:00:00,7.14,26.90,0.23,1.20,33.61,5.24,5.72,4.79,4.05,2022092313
BELLANDUR 90 MLD,2022-08-22 14:00:00,7.75,27.30,0.51,1.00,25.39,2.83,6.65,8.81,-,2022092313
DODDABELE 20 MLD,2022-09-22 21:15:00,7.11,26.30,0.14,2.50,37.50,6.96,5.13,11.80,6.36,2022092313
MALLATHALLI 5 MLD,2022-09-06 16:15:00,6.35,28.30,199.11,696.89,36.12,0.00,51.88,0.00,4.31,2022092313
NAGASANDRA OLD 20 MLD,2022-09-23 12:45:00,6.84,26.30,3.57,5.36,52.55,7.82,24.71,10.16,3.94,2022092313
4MLD Cubbon Park TTP,2022-09-23 13:00:00,7.04,27.30,0.74,4.66,17.30,1.16,0.92,5.02,2.96,2022092313
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.00,-,-,-,0.00,0.00,0.00,-,-,2022092313
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.00,-,-,-,0.00,0.00,0.00,-,-,2022092313
KADABEESANAHALLI 50 MLD,2022-09-03 23:00:00,8.07,24.60,0.85,4.25,55.94,9.50,17.38,7.52,5.65,2022092313
STP Sarakki 5 MLD,2022-09-23 09:30:00,7.01,27.00,-,-,18.66,4.74,5.68,3.73,-,2022092313
Kempambudhi STP 1 MLD,2022-09-23 13:00:00,7.26,22.80,0.44,4.44,37.83,4.21,7.80,5.29,3.94,2022092313
Mailasandra STP 75 MLD,2022-09-23 12:45:00,7.80,25.30,1.36,2.75,39.47,8.92,9.17,2.72,2.29,2022092313
