stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2022-10-31 23:45:00,7.54,25.30,0.49,2.20,32.30,2.20,4.5,6.46,4.08,2022110100
CHIKKABANAVARA 5 MLD,2022-10-31 23:45:00,7.28,24.70,0.86,2.60,39.35,7.39,10.89,15.52,3.44,2022110100
KADUGODI 6 MLD STP,2022-10-31 23:45:00,7.64,25.10,0.60,2.41,-,-,145.5,-,4.77,2022110100
HORAMAVU 20 MLD,2022-10-31 23:45:00,7.25,26.30,0.87,3.90,30.77,6.70,20.47,11.69,4.35,2022110100
K AND C VALLEY 60 MLD,2022-11-01 00:00:00,7.32,26.20,1.96,4.40,35.21,0.00,11.97,8.76,4.90,2022110100
NAGASANDRA 20 MLD,2022-10-31 23:45:00,7.02,26.50,0.68,3.40,48.75,3.75,14.52,4.77,3.97,2022110100
RAJACANAL 40 MLD,2022-10-31 23:45:00,7.11,25.70,0.91,3.30,30.38,3.52,7.53,8.00,4.62,2022110100
YELLAMALAPACHETTY 15 MLD,2022-11-01 00:00:00,6.9,25.30,0.44,0.70,34.10,5.58,5.94,5.33,-,2022110100
BELLANDUR 90 MLD,2022-10-12 08:45:00,7.45,26.10,0.39,0.50,26.49,3.90,6.63,8.17,-,2022110100
DODDABELE 20 MLD,2022-10-31 20:00:00,7.18,25.70,0.14,2.10,37.57,7.55,4.65,11.69,-,2022110100
MALLATHALLI 5 MLD,2022-10-11 09:20:00,7.29,26.80,0.37,0.93,20.98,1.67,15.98,12.05,3.93,2022110100
NAGASANDRA OLD 20 MLD,2022-10-31 23:45:00,6.91,25.30,6.59,9.89,58.38,7.75,56.89,10.20,5.22,2022110100
4MLD Cubbon Park TTP,2022-11-01 00:00:00,7.08,27.00,3.17,4.66,17.30,1.16,0.92,5.02,12.68,2022110100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.0,-,-,2022110100
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.00,0.00,0.0,-,-,2022110100
KADABEESANAHALLI 50 MLD,2022-10-20 21:15:00,8.17,24.30,1.06,5.30,115.15,10.57,47.08,12.23,5.72,2022110100
STP Sarakki 5 MLD,2022-11-01 00:00:00,5.97,26.90,-,-,-,-,32.5,-,-,2022110100
Kempambudhi STP 1 MLD,2022-11-01 00:00:00,11.28,22.30,0.61,1.88,32.43,4.04,7.16,5.24,11.89,2022110100
Mailasandra STP 75 MLD,2022-11-01 00:00:00,7.39,22.60,1.21,1.50,43.63,7.93,13.19,12.38,1.25,2022110100
60 MLD V.Valley TTP,2022-10-31 20:15:00,7.72,25.40,3.84,12.29,20.48,2.13,3.58,4.80,5.00,2022110100
KR Puram STP 20 MLD,2022-11-01 00:00:00,7.38,24.20,0.28,0.56,73.33,10.27,100.61,1.81,1.71,2022110100
1.5 MLD Lalbagh TTP,2022-11-01 00:00:00,7.69,24.30,0.60,3.08,18.01,1.57,0.96,4.67,6.68,2022110100
35MLD Agaram STP,2022-11-01 00:00:00,7.07,26.60,0.71,2.91,37.70,2.70,21.1,2.43,-,2022110100
Chikka_Bagur_5_MLD_STP,2022-11-01 00:04:00,7.91,26.60,-,-,-,7.40,7.6,14.80,-,2022110100
2MLD Ulsoor STP,2022-11-01 01:15:00,7.54,25.30,0.49,2.20,31.70,2.20,4.5,6.34,3.97,2022110101
CHIKKABANAVARA 5 MLD,2022-11-01 00:45:00,7.28,24.60,0.85,2.60,39.37,7.41,10.91,15.81,3.52,2022110101
KADUGODI 6 MLD STP,2022-11-01 00:45:00,7.65,25.20,0.60,2.37,-,-,146.68,-,4.50,2022110101
HORAMAVU 20 MLD,2022-11-01 00:45:00,7.34,26.00,0.90,3.90,30.79,6.78,20.71,11.82,4.50,2022110101
K AND C VALLEY 60 MLD,2022-11-01 01:00:00,7.32,26.20,1.96,4.40,35.45,0.00,12.1,8.94,4.90,2022110101
