stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on,outlet_flow,inlet_flow
20Mld KR Puram STP New,2023-12-06 08:45:00,7.95,-,2.69,2.99,40.72,6.25,6.76,8.76,-,-,2023120609,1.59,4.66
10 MLD STP HULIMAVU,2023-12-06 08:45:00,7.34,-,5.36,5.15,27.78,1.66,4.25,1.20,-,-,2023120609,0.00,7.06
2MLD Ulsoor STP,2023-12-06 09:30:00,7.43,26.20,0.37,1.85,33.18,4.65,5.31,6.64,4.74,-,2023120610,-,-
CHIKKABANAVARA 5 MLD,2023-12-06 09:45:00,7.55,22.60,0.36,3.3,28.15,4.53,4.49,12.18,2.88,-,2023120610,-,-
KADUGODI 6 MLD STP,2023-12-06 10:00:00,7.74,25.70,0.4,3.37,38.34,7.14,13.22,6.53,2.36,-,2023120610,-,-
HORAMAVU 20 MLD,2023-12-06 09:45:00,7.67,27.80,1.02,4.3,37.07,7.82,9.23,4.68,4.08,-,2023120610,-,-
K AND C VALLEY 60 MLD,2023-12-06 09:45:00,6.9,26.40,0.62,3.9,49.83,12.51,16.78,10.97,5.15,-,2023120610,-,-
NAGASANDRA 20 MLD,2023-12-06 09:45:00,7.62,24.10,0.79,3.16,260.26,3.76,68.04,0.00,3.62,-,2023120610,-,-
RAJACANAL 40 MLD,2023-12-06 09:45:00,7.65,25.90,0.87,4.1,28.57,3.59,4.15,8.07,4.18,-,2023120610,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-06 10:00:00,7.13,26.41,0.53,2.11,72.24,4.64,4.69,4.74,-0.47,-,2023120610,-,-
BELLANDUR 90 MLD,2023-12-06 09:45:00,7.81,25.60,0.54,1.6,27.00,4.42,6.83,5.40,3.02,-,2023120610,-,-
DODDABELE 20 MLD,2023-12-06 09:45:00,7.13,25.80,0.83,5.3,47.76,8.40,11.84,11.39,4.28,-,2023120610,-,-
NAGASANDRA OLD 20 MLD,2023-12-06 09:45:00,6.87,23.20,1.39,2.09,-,-,880.57,0.00,0.18,-,2023120610,-,-
4MLD Cubbon Park TTP,2023-12-06 10:00:00,7.01,27.60,0.68,4.69,17.31,1.19,0.93,5.02,3.40,-,2023120610,-,-
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120610,-,-
STP Sarakki 5 MLD,2023-12-06 09:45:00,7.91,26.60,0.56,1.12,18.84,5.02,6.02,3.77,-,-,2023120610,-,-
Mailasandra STP 75 MLD,2023-12-06 09:45:00,7.48,21.60,7.22,13.0,45.14,7.63,18.91,13.55,0.31,-,2023120610,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023120610,-,-
KR Puram STP 20 MLD,2023-12-06 08:45:00,7.11,24.10,1.23,2.46,73.89,6.24,108.96,10.34,3.87,-,2023120610,-,-
1.5 MLD Lalbagh TTP,2023-12-05 15:52:30,7.4,25.90,0.75,3.71,17.81,1.32,0.94,4.15,2.76,-,2023120610,-,-
35MLD Agaram STP,2023-12-06 10:00:00,7.27,24.90,0.81,3.32,29.81,5.09,4.45,6.54,-,-,2023120610,-,-
Chikka_Bagur_5_MLD_STP,2023-12-06 01:30:00,7.68,26.30,4.5,9.0,44.10,7.10,9.0,14.20,-,-,2023120610,-,-
Yelahanka 10MLD TTP,2023-12-06 10:00:00,7.32,24.00,2.31,6.5,38.20,8.10,8.1,7.64,3.07,0.20,2023120610,-,-
40MLD OLD Rajacanal STP,2023-12-06 09:30:00,7.54,23.30,2.8,9.24,26.10,6.70,7.4,6.53,9.80,1.40,2023120610,-,-
Hennur 1MLD TTP,2023-12-06 10:00:00,7.47,26.20,1.78,2.67,23.70,3.90,5.0,5.18,4.17,0.36,2023120610,-,-
4_MLD_Madiwala_STP,2023-12-06 10:15:00,7.74,24.50,1.15,3.34,37.06,1.20,8.04,9.27,-,-,2023120610,-,-
150MLD STP_K&C valley,2023-12-06 09:55:00,7.53,-,3.54,1.83,-,6.38,8.81,-,-,1.85,2023120610,-,-
20Mld KR Puram STP New,2023-12-06 09:45:00,7.95,-,2.69,2.99,40.72,6.25,6.76,8.76,-,-,2023120610,1.59,6.00
10 MLD STP HULIMAVU,2023-12-06 09:45:00,7.34,-,5.36,5.15,27.78,1.66,4.25,1.20,-,-,2023120610,2.54,2.25
2MLD Ulsoor STP,2023-12-06 10:30:00,7.52,26.30,0.38,1.9,33.04,4.63,5.29,6.61,4.72,-,2023120611,-,-
CHIKKABANAVARA 5 MLD,2023-12-06 10:45:00,7.55,22.70,0.36,3.3,28.12,4.55,4.49,12.41,2.88,-,2023120611,-,-
KADUGODI 6 MLD STP,2023-12-06 11:00:00,7.84,25.70,0.4,3.68,36.64,6.94,9.03,6.52,2.36,-,2023120611,-,-
HORAMAVU 20 MLD,2023-12-06 10:45:00,7.51,27.80,1.04,4.3,37.02,7.81,9.22,4.51,4.16,-,2023120611,-,-
K AND C VALLEY 60 MLD,2023-12-06 10:45:00,6.86,26.60,0.63,3.8,52.12,12.43,19.7,10.91,5.23,-,2023120611,-,-
NAGASANDRA 20 MLD,2023-12-06 10:45:00,7.68,24.70,0.9,3.6,302.58,0.0,80.6,0.00,3.62,-,2023120611,-,-
RAJACANAL 40 MLD,2023-12-06 10:45:00,7.68,26.00,0.89,4.1,28.59,3.58,4.16,8.08,4.27,-,2023120611,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-06 11:00:00,7.18,26.61,0.53,2.13,71.69,4.73,4.57,4.77,1.84,-,2023120611,-,-
BELLANDUR 90 MLD,2023-12-06 10:45:00,7.81,25.70,0.55,1.6,26.99,4.44,6.72,5.40,3.08,-,2023120611,-,-
DODDABELE 20 MLD,2023-12-06 10:45:00,7.1,25.70,0.82,5.5,49.03,8.07,17.14,11.29,4.26,-,2023120611,-,-
NAGASANDRA OLD 20 MLD,2023-12-06 10:45:00,6.87,23.30,1.44,2.16,904.97,0.0,877.17,0.00,0.17,-,2023120611,-,-
4MLD Cubbon Park TTP,2023-12-06 11:00:00,7.01,27.60,0.68,4.7,17.32,1.2,0.94,5.02,3.40,-,2023120611,-,-
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120611,-,-
STP Sarakki 5 MLD,2023-12-06 10:45:00,7.81,26.60,0.56,1.12,18.84,5.01,6.01,3.77,-,-,2023120611,-,-
Mailasandra STP 75 MLD,2023-12-06 10:45:00,7.54,22.40,7.22,13.0,45.16,7.64,18.91,13.56,2.07,-,2023120611,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023120611,-,-
KR Puram STP 20 MLD,2023-12-06 10:30:00,7.13,24.50,1.13,2.26,79.69,5.05,130.69,11.16,3.86,-,2023120611,-,-
1.5 MLD Lalbagh TTP,2023-12-05 15:52:30,7.4,25.90,0.75,3.71,17.81,1.32,0.94,4.15,2.76,-,2023120611,-,-
35MLD Agaram STP,2023-12-06 11:00:00,7.19,25.00,0.81,3.32,29.48,5.03,4.45,6.47,-,-,2023120611,-,-
Chikka_Bagur_5_MLD_STP,2023-12-06 01:30:00,7.68,26.30,4.5,9.0,44.10,7.1,9.0,14.20,-,-,2023120611,-,-
Yelahanka 10MLD TTP,2023-12-06 11:00:00,7.3,24.00,2.38,6.68,38.20,8.1,8.0,7.66,3.07,0.20,2023120611,-,-
40MLD OLD Rajacanal STP,2023-12-06 09:30:00,7.54,23.30,2.8,9.24,26.10,6.7,7.4,6.53,9.80,1.40,2023120611,-,-
Hennur 1MLD TTP,2023-12-06 11:00:00,7.45,26.20,1.82,2.73,23.60,3.9,4.9,5.18,4.17,0.36,2023120611,-,-
4_MLD_Madiwala_STP,2023-12-06 11:00:00,7.74,24.50,1.17,3.39,37.06,1.53,8.04,9.27,-,-,2023120611,-,-
150MLD STP_K&C valley,2023-12-06 10:35:00,7.53,-,3.55,1.83,-,6.38,8.81,-,-,1.88,2023120611,-,-
20Mld KR Puram STP New,2023-12-06 10:45:00,7.95,-,2.69,2.99,40.72,6.25,6.76,8.76,-,-,2023120611,1.59,6.44
10 MLD STP HULIMAVU,2023-12-06 10:45:00,7.46,-,6.89,5.66,29.52,1.77,3.93,1.20,-,-,2023120611,3.11,3.45
2MLD Ulsoor STP,2023-12-06 11:30:00,7.52,26.20,0.38,1.9,32.90,4.61,5.26,6.58,4.70,-,2023120612,-,-
CHIKKABANAVARA 5 MLD,2023-12-06 11:45:00,7.56,22.80,0.37,3.3,28.14,4.54,4.49,12.19,2.96,-,2023120612,-,-
KADUGODI 6 MLD STP,2023-12-06 12:00:00,7.8,25.80,0.4,3.48,36.62,6.95,9.04,6.53,2.36,-,2023120612,-,-
HORAMAVU 20 MLD,2023-12-06 11:45:00,7.66,27.80,1.04,4.2,37.04,7.8,9.24,4.45,4.16,-,2023120612,-,-
K AND C VALLEY 60 MLD,2023-12-06 11:45:00,6.87,26.60,0.63,3.9,50.68,12.48,17.46,10.49,5.23,-,2023120612,-,-
NAGASANDRA 20 MLD,2023-12-06 11:45:00,7.66,25.10,0.63,2.52,275.18,0.26,73.11,0.15,3.76,-,2023120612,-,-
RAJACANAL 40 MLD,2023-12-06 11:45:00,7.68,26.10,0.9,4.1,28.60,3.59,4.16,8.11,4.32,-,2023120612,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-06 12:00:00,7.22,26.73,0.53,2.14,62.70,4.76,4.3,4.76,-0.67,-,2023120612,-,-
BELLANDUR 90 MLD,2023-12-06 11:45:00,7.81,26.00,0.56,1.6,27.00,4.42,6.82,5.40,3.14,-,2023120612,-,-
DODDABELE 20 MLD,2023-12-06 11:45:00,7.06,25.70,0.82,5.7,47.83,7.97,15.39,11.37,4.24,-,2023120612,-,-
NAGASANDRA OLD 20 MLD,2023-12-06 11:45:00,6.88,23.70,1.48,2.22,873.98,0.0,841.91,0.00,0.19,-,2023120612,-,-
4MLD Cubbon Park TTP,2023-12-06 12:00:00,7.02,27.60,0.69,4.7,17.33,1.2,0.95,5.02,3.45,-,2023120612,-,-
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120612,-,-
STP Sarakki 5 MLD,2023-12-06 11:45:00,7.88,26.80,0.54,1.08,18.85,5.03,6.02,3.77,-,-,2023120612,-,-
Mailasandra STP 75 MLD,2023-12-06 11:45:00,7.57,23.10,7.23,13.01,45.18,7.71,18.92,13.75,2.62,-,2023120612,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023120612,-,-
KR Puram STP 20 MLD,2023-12-06 11:45:00,7.12,24.90,1.14,2.28,80.97,9.03,133.19,11.34,5.02,-,2023120612,-,-
1.5 MLD Lalbagh TTP,2023-12-05 15:52:30,7.4,25.90,0.75,3.71,17.81,1.32,0.94,4.15,2.76,-,2023120612,-,-
35MLD Agaram STP,2023-12-06 12:00:00,7.16,25.30,0.81,3.32,29.36,5.01,4.45,6.44,-,-,2023120612,-,-
Chikka_Bagur_5_MLD_STP,2023-12-06 01:30:00,7.68,26.30,4.5,9.0,44.10,7.1,9.0,14.20,-,-,2023120612,-,-
Yelahanka 10MLD TTP,2023-12-06 12:00:00,7.31,24.10,2.28,6.43,38.30,8.0,8.0,7.66,3.07,0.20,2023120612,-,-
40MLD OLD Rajacanal STP,2023-12-06 09:30:00,7.54,23.30,2.8,9.24,26.10,6.7,7.4,6.53,9.80,1.40,2023120612,-,-
Hennur 1MLD TTP,2023-12-06 12:00:00,7.45,26.20,1.9,2.85,23.60,3.9,5.0,5.18,4.17,0.38,2023120612,-,-
4_MLD_Madiwala_STP,2023-12-06 11:00:00,7.74,24.50,1.17,3.39,37.06,1.53,8.04,9.27,-,-,2023120612,-,-
150MLD STP_K&C valley,2023-12-06 10:35:00,7.53,-,3.55,1.83,-,6.38,8.81,-,-,1.88,2023120612,-,-
20Mld KR Puram STP New,2023-12-06 11:45:00,7.98,-,3.34,3.43,41.55,6.38,6.83,8.90,-,-,2023120612,1.59,6.44
10 MLD STP HULIMAVU,2023-12-06 11:45:00,7.46,-,6.89,5.66,29.52,1.77,3.93,1.20,-,-,2023120612,3.34,3.38
2MLD Ulsoor STP,2023-12-06 12:30:00,7.52,26.20,0.38,1.9,32.83,4.6,5.25,6.57,4.69,-,2023120613,-,-
CHIKKABANAVARA 5 MLD,2023-12-06 12:45:00,7.53,22.90,0.37,3.3,28.15,4.54,4.5,12.14,2.96,-,2023120613,-,-
KADUGODI 6 MLD STP,2023-12-06 13:00:00,7.77,25.70,0.4,3.61,36.44,6.96,8.22,6.55,2.36,-,2023120613,-,-
HORAMAVU 20 MLD,2023-12-06 12:45:00,7.65,27.80,1.04,4.2,37.11,7.82,9.27,4.60,4.16,-,2023120613,-,-
K AND C VALLEY 60 MLD,2023-12-06 12:45:00,6.88,26.90,0.64,3.9,50.91,12.67,17.64,11.46,5.31,-,2023120613,-,-
NAGASANDRA 20 MLD,2023-12-06 12:45:00,7.66,25.40,0.69,2.76,275.66,0.26,72.62,0.00,3.81,-,2023120613,-,-
RAJACANAL 40 MLD,2023-12-06 12:45:00,7.66,26.20,0.9,4.1,28.56,3.58,4.13,8.08,4.32,-,2023120613,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-06 13:00:00,7.27,26.94,0.54,2.16,73.70,4.68,4.69,4.72,1.24,-,2023120613,-,-
BELLANDUR 90 MLD,2023-12-06 12:45:00,7.81,26.10,0.57,1.6,26.99,4.42,6.76,5.40,3.19,-,2023120613,-,-
DODDABELE 20 MLD,2023-12-06 12:45:00,7.04,25.70,0.82,5.7,46.17,7.82,12.85,11.21,4.22,-,2023120613,-,-
NAGASANDRA OLD 20 MLD,2023-12-06 12:45:00,7.09,23.70,1.72,2.58,51.49,10.46,15.06,7.96,3.54,-,2023120613,-,-
4MLD Cubbon Park TTP,2023-12-06 13:00:00,7.04,27.70,0.69,4.7,17.32,1.2,0.94,5.02,3.45,-,2023120613,-,-
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120613,-,-
STP Sarakki 5 MLD,2023-12-06 12:45:00,7.92,26.90,0.56,1.12,18.86,5.04,6.05,3.77,-,-,2023120613,-,-
Mailasandra STP 75 MLD,2023-12-06 12:45:00,7.58,23.20,7.23,13.02,45.21,7.75,18.92,13.63,3.30,-,2023120613,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023120613,-,-
KR Puram STP 20 MLD,2023-12-06 12:15:00,7.12,24.90,1.15,2.3,85.32,4.57,160.75,11.94,4.26,-,2023120613,-,-
1.5 MLD Lalbagh TTP,2023-12-05 15:52:30,7.4,25.90,0.75,3.71,17.81,1.32,0.94,4.15,2.76,-,2023120613,-,-
35MLD Agaram STP,2023-12-06 13:00:00,7.27,25.00,0.83,3.4,29.81,5.09,4.57,6.54,-,-,2023120613,-,-
Chikka_Bagur_5_MLD_STP,2023-12-06 01:30:00,7.68,26.30,4.5,9.0,44.10,7.1,9.0,14.20,-,-,2023120613,-,-
Yelahanka 10MLD TTP,2023-12-06 13:00:00,7.29,24.20,2.24,6.34,38.40,8.5,8.7,7.68,3.06,0.20,2023120613,-,-
40MLD OLD Rajacanal STP,2023-12-06 09:30:00,7.54,23.30,2.8,9.24,26.10,6.7,7.4,6.53,9.80,1.40,2023120613,-,-
Hennur 1MLD TTP,2023-12-06 12:45:00,7.47,26.20,1.91,2.87,23.70,3.9,5.0,5.18,4.17,0.38,2023120613,-,-
4_MLD_Madiwala_STP,2023-12-06 12:45:00,7.74,24.50,1.16,3.36,37.12,1.91,8.09,9.28,-,-,2023120613,-,-
150MLD STP_K&C valley,2023-12-06 10:35:00,7.53,-,3.55,1.83,-,6.38,8.81,-,-,1.88,2023120613,-,-
20Mld KR Puram STP New,2023-12-06 12:45:00,7.98,-,3.34,3.43,41.55,6.38,6.83,8.90,-,-,2023120613,2.42,6.81
10 MLD STP HULIMAVU,2023-12-06 12:45:00,7.46,-,6.89,5.66,29.52,1.77,3.93,1.20,-,-,2023120613,3.90,4.50
2MLD Ulsoor STP,2023-12-06 13:30:00,7.52,26.20,0.38,1.9,32.27,4.52,5.16,6.45,4.61,-,2023120614,-,-
CHIKKABANAVARA 5 MLD,2023-12-06 13:45:00,7.53,23.00,0.38,3.3,28.15,4.55,4.49,12.25,3.04,-,2023120614,-,-
KADUGODI 6 MLD STP,2023-12-06 14:00:00,7.85,25.80,0.4,3.49,36.66,6.95,9.12,6.53,2.36,-,2023120614,-,-
HORAMAVU 20 MLD,2023-12-06 13:45:00,7.66,28.10,1.04,4.2,37.06,7.82,9.23,4.59,4.16,-,2023120614,-,-
K AND C VALLEY 60 MLD,2023-12-06 13:45:00,6.88,27.00,0.65,3.9,50.64,12.71,17.19,11.50,5.39,-,2023120614,-,-
NAGASANDRA 20 MLD,2023-12-06 13:45:00,7.65,25.50,0.85,3.4,276.10,0.81,72.69,0.00,3.83,-,2023120614,-,-
RAJACANAL 40 MLD,2023-12-06 13:45:00,7.65,26.30,0.9,4.0,28.56,3.58,4.15,8.05,4.32,-,2023120614,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-06 14:00:00,7.29,27.00,0.54,2.16,61.49,4.72,4.31,4.75,1.88,-,2023120614,-,-
BELLANDUR 90 MLD,2023-12-06 13:45:00,7.8,26.30,0.58,1.6,27.00,4.44,6.79,5.40,3.25,-,2023120614,-,-
DODDABELE 20 MLD,2023-12-06 13:45:00,7.11,26.20,0.83,5.6,46.75,7.85,13.47,11.08,4.27,-,2023120614,-,-
NAGASANDRA OLD 20 MLD,2023-12-06 13:45:00,7.1,23.80,1.69,2.54,54.18,10.42,15.93,7.12,3.35,-,2023120614,-,-
4MLD Cubbon Park TTP,2023-12-06 14:00:00,7.02,27.70,0.69,4.7,17.32,1.2,0.94,5.02,3.45,-,2023120614,-,-
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120614,-,-
STP Sarakki 5 MLD,2023-12-06 13:45:00,7.92,26.90,0.55,1.1,18.86,5.04,6.06,3.77,-,-,2023120614,-,-
Mailasandra STP 75 MLD,2023-12-06 13:45:00,7.53,22.90,7.23,13.01,45.18,7.68,18.89,13.69,1.50,-,2023120614,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023120614,-,-
KR Puram STP 20 MLD,2023-12-06 13:45:00,7.09,25.20,1.25,2.5,71.67,4.92,97.31,10.03,3.90,-,2023120614,-,-
1.5 MLD Lalbagh TTP,2023-12-05 15:52:30,7.4,25.90,0.75,3.71,17.81,1.32,0.94,4.15,2.76,-,2023120614,-,-
35MLD Agaram STP,2023-12-06 13:45:00,7.25,25.10,0.82,3.36,29.73,5.07,4.51,6.53,-,-,2023120614,-,-
Chikka_Bagur_5_MLD_STP,2023-12-06 01:30:00,7.68,26.30,4.5,9.0,44.10,7.1,9.0,14.20,-,-,2023120614,-,-
Yelahanka 10MLD TTP,2023-12-06 14:00:00,7.31,24.40,2.2,6.17,38.50,8.4,8.7,7.70,3.05,0.20,2023120614,-,-
40MLD OLD Rajacanal STP,2023-12-06 09:30:00,7.54,23.30,2.8,9.24,26.10,6.7,7.4,6.53,9.80,1.40,2023120614,-,-
Hennur 1MLD TTP,2023-12-06 14:00:00,7.47,26.20,1.89,2.84,23.70,3.9,5.0,5.18,4.17,0.38,2023120614,-,-
4_MLD_Madiwala_STP,2023-12-06 12:45:00,7.74,24.50,1.16,3.36,37.12,1.91,8.09,9.28,-,-,2023120614,-,-
150MLD STP_K&C valley,2023-12-06 10:35:00,7.53,-,3.55,1.83,-,6.38,8.81,-,-,1.88,2023120614,-,-
20Mld KR Puram STP New,2023-12-06 13:45:00,7.98,-,3.34,3.43,41.55,6.38,6.83,8.90,-,-,2023120614,3.01,8.12
10 MLD STP HULIMAVU,2023-12-06 13:45:00,7.46,-,6.89,5.66,29.52,1.77,3.93,1.20,-,-,2023120614,4.15,5.16
2MLD Ulsoor STP,2023-12-06 14:30:00,7.52,26.20,0.38,1.9,32.27,4.52,5.16,6.45,4.61,-,2023120615,-,-
CHIKKABANAVARA 5 MLD,2023-12-06 14:45:00,7.54,23.30,0.39,3.2,28.20,4.56,4.5,12.35,3.12,-,2023120615,-,-
KADUGODI 6 MLD STP,2023-12-06 14:45:00,7.81,25.70,0.4,3.45,36.65,6.96,8.99,6.54,2.36,-,2023120615,-,-
HORAMAVU 20 MLD,2023-12-06 14:45:00,7.64,28.10,1.06,4.2,37.06,7.83,9.2,4.60,4.24,-,2023120615,-,-
K AND C VALLEY 60 MLD,2023-12-06 14:45:00,6.87,27.00,0.64,3.9,51.74,12.69,18.26,11.07,5.31,-,2023120615,-,-
NAGASANDRA 20 MLD,2023-12-06 14:45:00,7.68,26.20,0.87,3.48,27.05,6.23,6.01,5.66,3.83,-,2023120615,-,-
RAJACANAL 40 MLD,2023-12-06 14:45:00,7.67,26.10,0.9,4.1,28.56,3.59,4.11,8.09,4.32,-,2023120615,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-06 15:00:00,7.29,27.01,0.54,2.16,53.95,4.75,4.07,4.75,-0.67,-,2023120615,-,-
BELLANDUR 90 MLD,2023-12-06 14:45:00,7.81,26.30,0.58,1.6,27.00,4.43,6.78,5.40,3.25,-,2023120615,-,-
DODDABELE 20 MLD,2023-12-06 14:45:00,7.16,26.50,0.85,5.6,47.36,7.76,15.13,11.00,4.30,-,2023120615,-,-
NAGASANDRA OLD 20 MLD,2023-12-06 14:45:00,7.1,23.90,1.62,2.43,53.56,10.96,15.33,8.84,3.07,-,2023120615,-,-
4MLD Cubbon Park TTP,2023-12-06 15:00:00,6.98,27.70,0.69,4.7,17.33,1.2,0.94,5.02,3.45,-,2023120615,-,-
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120615,-,-
STP Sarakki 5 MLD,2023-12-06 14:45:00,7.92,26.90,0.55,1.1,18.85,5.04,6.04,3.77,-,-,2023120615,-,-
Mailasandra STP 75 MLD,2023-12-06 14:45:00,7.53,23.20,7.23,13.02,45.20,7.73,18.9,13.66,1.64,-,2023120615,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023120615,-,-
KR Puram STP 20 MLD,2023-12-06 14:45:00,7.08,25.50,1.28,2.56,70.58,5.62,91.15,9.88,4.13,-,2023120615,-,-
1.5 MLD Lalbagh TTP,2023-12-05 15:52:30,7.4,25.90,0.75,3.71,17.81,1.32,0.94,4.15,2.76,-,2023120615,-,-
35MLD Agaram STP,2023-12-06 15:00:00,7.17,25.30,0.82,3.36,29.40,5.02,4.51,6.45,-,-,2023120615,-,-
Chikka_Bagur_5_MLD_STP,2023-12-06 01:30:00,7.68,26.30,4.5,9.0,44.10,7.1,9.0,14.20,-,-,2023120615,-,-
Yelahanka 10MLD TTP,2023-12-06 15:00:00,7.32,24.50,2.18,6.13,38.50,8.5,8.7,7.67,3.05,0.20,2023120615,-,-
40MLD OLD Rajacanal STP,2023-12-06 09:30:00,7.54,23.30,2.8,9.24,26.10,6.7,7.4,6.53,9.80,1.40,2023120615,-,-
Hennur 1MLD TTP,2023-12-06 15:00:00,7.46,26.20,1.94,2.91,23.60,3.9,4.9,5.18,4.16,0.39,2023120615,-,-
4_MLD_Madiwala_STP,2023-12-06 14:30:00,7.74,24.50,1.15,3.34,37.24,1.25,8.19,9.31,-,-,2023120615,-,-
150MLD STP_K&C valley,2023-12-06 10:35:00,7.53,-,3.55,1.83,-,6.38,8.81,-,-,1.88,2023120615,-,-
20Mld KR Puram STP New,2023-12-06 14:45:00,7.98,-,3.34,3.43,41.55,6.38,6.83,8.90,-,-,2023120615,3.24,9.06
10 MLD STP HULIMAVU,2023-12-06 14:45:00,7.46,-,6.89,5.66,29.52,1.77,3.93,1.20,-,-,2023120615,4.15,5.97
2MLD Ulsoor STP,2023-12-06 15:30:00,7.51,26.10,0.38,1.9,31.92,4.47,5.11,6.38,4.56,-,2023120616,-,-
CHIKKABANAVARA 5 MLD,2023-12-06 15:45:00,7.52,23.10,0.38,3.3,28.16,4.57,4.49,12.35,3.04,-,2023120616,-,-
KADUGODI 6 MLD STP,2023-12-06 16:00:00,7.76,25.80,0.4,3.47,36.49,6.95,8.48,6.54,2.36,-,2023120616,-,-
HORAMAVU 20 MLD,2023-12-06 15:45:00,7.62,27.70,1.05,4.1,37.04,7.82,9.2,4.66,4.20,-,2023120616,-,-
K AND C VALLEY 60 MLD,2023-12-06 15:45:00,6.9,26.90,0.63,3.8,51.92,12.78,18.44,11.46,5.23,-,2023120616,-,-
NAGASANDRA 20 MLD,2023-12-06 15:45:00,7.66,25.90,0.74,2.96,25.96,6.09,5.53,5.93,3.88,-,2023120616,-,-
RAJACANAL 40 MLD,2023-12-06 15:45:00,7.65,26.10,0.89,4.1,28.55,3.59,4.13,8.12,4.27,-,2023120616,-,-
YELLAMALAPACHETTY 15 MLD,2023-12-06 16:00:00,7.24,26.82,0.54,2.15,65.69,4.71,4.43,4.75,1.91,-,2023120616,-,-
BELLANDUR 90 MLD,2023-12-06 15:45:00,7.81,26.20,0.58,1.6,27.00,4.43,6.82,5.40,3.25,-,2023120616,-,-
DODDABELE 20 MLD,2023-12-06 15:45:00,7.17,26.40,0.85,5.6,46.64,7.76,14.18,11.10,4.30,-,2023120616,-,-
NAGASANDRA OLD 20 MLD,2023-12-06 15:45:00,7.09,23.90,1.7,2.55,55.29,10.42,16.47,6.87,6.44,-,2023120616,-,-
4MLD Cubbon Park TTP,2023-12-06 16:00:00,6.94,27.80,0.69,4.71,17.33,1.21,0.94,5.03,3.45,-,2023120616,-,-
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120616,-,-
STP Sarakki 5 MLD,2023-12-06 15:45:00,7.89,26.90,0.57,1.14,18.87,5.07,6.09,3.77,-,-,2023120616,-,-
Mailasandra STP 75 MLD,2023-12-06 15:45:00,7.56,23.40,7.23,13.02,45.21,7.74,18.9,13.81,2.55,-,2023120616,-,-
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,2023120616,-,-
KR Puram STP 20 MLD,2023-12-06 15:45:00,7.08,25.30,1.3,2.6,69.99,6.94,88.17,9.80,3.84,-,2023120616,-,-
1.5 MLD Lalbagh TTP,2023-12-05 15:52:30,7.4,25.90,0.75,3.71,17.81,1.32,0.94,4.15,2.76,-,2023120616,-,-
35MLD Agaram STP,2023-12-06 16:00:00,7.22,25.20,0.85,3.49,29.60,5.05,4.68,6.50,-,-,2023120616,-,-
Chikka_Bagur_5_MLD_STP,2023-12-06 01:30:00,7.68,26.30,4.5,9.0,44.10,7.1,9.0,14.20,-,-,2023120616,-,-
Yelahanka 10MLD TTP,2023-12-06 16:00:00,7.33,24.70,2.15,6.02,38.50,11.1,12.8,7.60,3.04,0.20,2023120616,-,-
