stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on,outlet_flow,inlet_flow
60 MLD V.Valley TTP,2023-12-01 00:45:00,6.92,23.70,0.85,2.04,20.02,1.78,3.19,4.56,1.52,-,2023120101,,
KR Puram STP 20 MLD,2023-12-01 01:00:00,6.96,24.80,2.11,4.22,122.49,0.0,350.05,17.15,3.69,-,2023120101,,
1.5 MLD Lalbagh TTP,2023-11-27 13:15:00,7.21,27.40,0.62,3.03,18.08,1.41,1.06,-0.02,-0.04,-,2023120101,,
35MLD Agaram STP,2023-12-01 01:00:00,7.18,25.10,0.77,3.16,29.44,5.03,4.23,6.46,-,-,2023120101,,
Chikka_Bagur_5_MLD_STP,2023-12-01 01:00:00,7.73,26.80,5.92,11.80,43.50,6.4,8.8,12.80,-,-,2023120101,,
Yelahanka 10MLD TTP,2023-12-01 01:00:00,7.34,24.30,1.43,4.00,34.60,10.1,11.3,6.93,3.05,0.20,2023120101,,
40MLD OLD Rajacanal STP,2023-12-01 01:00:00,7.67,24.30,3.77,12.44,26.10,6.6,7.4,6.53,13.19,1.88,2023120101,,
Hennur 1MLD TTP,2023-11-30 22:45:00,7.56,26.60,1.29,1.93,22.30,3.3,4.9,5.11,4.08,0.26,2023120101,,
4_MLD_Madiwala_STP,2023-12-01 01:00:00,7.79,24.20,1.17,3.39,34.33,2.61,3.54,8.58,-,-,2023120101,,
150MLD STP_K&C valley,2023-12-01 00:55:00,6.54,-,2.71,2.91,-,9.07,8.75,-,-,0.88,2023120101,,
20Mld KR Puram STP New,2023-11-30 15:00:00,7.5,-,3.06,3.38,41.65,6.38,6.83,9.68,-,-,2023120101,,
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023120101,,
2MLD Ulsoor STP,2023-12-01 01:30:00,7.26,25.90,0.38,1.90,20.44,2.86,3.27,4.09,2.92,-,2023120102,,
CHIKKABANAVARA 5 MLD,2023-12-01 01:45:00,7.53,23.00,0.36,3.40,28.15,4.43,4.49,12.64,2.88,-,2023120102,,
KADUGODI 6 MLD STP,2023-12-01 02:00:00,7.77,27.10,0.50,3.42,37.38,7.06,10.54,6.53,2.95,-,2023120102,,
HORAMAVU 20 MLD,2023-12-01 01:45:00,7.56,28.00,1.06,3.50,36.90,7.77,9.2,4.64,4.24,-,2023120102,,
K AND C VALLEY 60 MLD,2023-12-01 01:45:00,6.91,26.50,0.61,3.60,46.98,10.7,21.09,8.54,5.06,-,2023120102,,
NAGASANDRA 20 MLD,2023-12-01 01:45:00,7.55,24.80,1.31,5.24,199.12,7.39,44.76,0.00,3.72,-,2023120102,,
RAJACANAL 40 MLD,2023-12-01 01:45:00,7.66,26.10,0.89,4.10,28.84,3.55,4.65,8.00,4.27,-,2023120102,,
YELLAMALAPACHETTY 15 MLD,2023-11-28 10:45:00,7.3,27.02,0.54,2.16,25.09,4.37,1.87,4.59,1.62,-,2023120102,,
BELLANDUR 90 MLD,2023-12-01 01:45:00,7.86,26.00,0.56,1.60,27.88,3.3,13.41,5.58,3.14,-,2023120102,,
DODDABELE 20 MLD,2023-12-01 01:45:00,7.15,25.90,0.78,4.70,39.41,6.84,6.37,10.97,4.29,-,2023120102,,
NAGASANDRA OLD 20 MLD,2023-12-01 01:45:00,7.04,23.60,2.17,3.26,347.72,13.31,260.94,0.00,0.40,-,2023120102,,
4MLD Cubbon Park TTP,2023-12-01 02:00:00,7.48,28.00,0.75,5.01,17.53,1.51,0.94,5.08,3.75,-,2023120102,,
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120102,,
STP Sarakki 5 MLD,2023-12-01 01:45:00,7.96,26.80,0.61,1.22,18.69,4.78,5.63,3.74,-,-,2023120102,,
Mailasandra STP 75 MLD,2023-12-01 01:45:00,7.52,21.80,7.28,13.10,45.50,8.1,18.64,12.91,-0.43,-,2023120102,,
60 MLD V.Valley TTP,2023-12-01 01:45:00,6.92,23.60,0.86,2.06,20.02,1.77,3.19,4.55,1.52,-,2023120102,,
KR Puram STP 20 MLD,2023-12-01 02:00:00,6.97,24.80,2.04,4.08,111.98,0.0,280.87,15.68,3.70,-,2023120102,,
1.5 MLD Lalbagh TTP,2023-11-27 13:15:00,7.21,27.40,0.62,3.03,18.08,1.41,1.06,-0.02,-0.04,-,2023120102,,
35MLD Agaram STP,2023-12-01 02:00:00,7.18,25.10,0.77,3.16,29.44,5.03,4.23,6.46,-,-,2023120102,,
Chikka_Bagur_5_MLD_STP,2023-12-01 02:00:00,7.9,26.70,6.34,12.70,44.10,5.8,10.7,11.60,-,-,2023120102,,
Yelahanka 10MLD TTP,2023-12-01 02:00:00,7.34,24.30,1.43,4.00,34.60,10.1,11.3,6.93,3.05,0.20,2023120102,,
40MLD OLD Rajacanal STP,2023-12-01 02:00:00,7.67,24.30,3.64,12.01,26.10,6.6,7.4,6.53,12.74,1.82,2023120102,,
Hennur 1MLD TTP,2023-11-30 22:45:00,7.56,26.60,1.29,1.93,22.30,3.3,4.9,5.11,4.08,0.26,2023120102,,
4_MLD_Madiwala_STP,2023-12-01 02:00:00,7.79,24.10,1.17,3.39,34.33,2.65,3.55,8.58,-,-,2023120102,,
150MLD STP_K&C valley,2023-12-01 01:55:00,6.48,-,2.71,2.91,-,9.07,8.75,-,-,0.88,2023120102,,
20Mld KR Puram STP New,2023-11-30 15:00:00,7.5,-,3.06,3.38,41.65,6.38,6.83,9.68,-,-,2023120102,,
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023120102,,
2MLD Ulsoor STP,2023-12-01 02:30:00,7.26,25.90,0.38,1.90,19.32,2.7,3.09,3.86,2.76,-,2023120103,,
CHIKKABANAVARA 5 MLD,2023-12-01 02:45:00,7.53,23.00,0.36,3.30,28.13,4.42,4.49,12.43,2.88,-,2023120103,,
KADUGODI 6 MLD STP,2023-12-01 03:00:00,7.75,26.80,0.50,3.38,37.33,7.06,10.1,6.53,2.95,-,2023120103,,
HORAMAVU 20 MLD,2023-12-01 02:45:00,7.66,28.10,1.06,3.50,36.80,7.73,9.15,4.51,4.24,-,2023120103,,
K AND C VALLEY 60 MLD,2023-12-01 02:45:00,6.91,26.50,0.61,3.50,47.45,10.8,21.64,8.69,5.06,-,2023120103,,
NAGASANDRA 20 MLD,2023-12-01 02:45:00,7.54,24.70,1.27,5.08,196.64,6.58,44.71,0.00,3.71,-,2023120103,,
RAJACANAL 40 MLD,2023-12-01 02:45:00,7.66,26.10,0.89,4.10,28.85,3.56,4.66,8.05,4.27,-,2023120103,,
YELLAMALAPACHETTY 15 MLD,2023-11-28 10:45:00,7.3,27.02,0.54,2.16,25.09,4.37,1.87,4.59,1.62,-,2023120103,,
BELLANDUR 90 MLD,2023-12-01 02:45:00,7.86,26.00,0.56,1.60,27.90,3.29,13.46,5.58,3.14,-,2023120103,,
DODDABELE 20 MLD,2023-12-01 02:45:00,7.12,26.10,0.80,4.70,39.46,6.82,6.49,11.10,4.27,-,2023120103,,
NAGASANDRA OLD 20 MLD,2023-12-01 02:45:00,7.05,23.50,2.08,3.12,492.41,18.52,413.69,0.00,0.52,-,2023120103,,
