stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
2MLD Ulsoor STP,2024-03-31 23:30:00,6.84,28.80,0.57,2.85,4.55,0.64,0.73,0.91,0.65,-,-,-,2024040100
CHIKKABANAVARA 5 MLD,2024-03-23 14:15:00,7.4,31.60,0.0,1008.0,27.01,4.06,4.54,9.79,0.00,-,-,-,2024040100
KADUGODI 6 MLD STP,2024-03-31 23:45:00,7.87,28.10,0.3,8.69,40.37,7.64,15.16,6.91,1.77,-,-,-,2024040100
HORAMAVU 20 MLD,2024-03-31 23:45:00,7.71,30.90,1.03,3.5,39.69,7.61,11.67,3.88,4.12,-,-,-,2024040100
K AND C VALLEY 60 MLD,2024-03-31 23:52:00,6.77,29.60,0.84,3.5,58.74,15.46,8.01,18.36,6.97,-,-,-,2024040100
NAGASANDRA 20 MLD,2024-03-31 23:45:00,7.4,27.50,1.13,4.52,46.63,9.05,11.03,8.23,4.14,-,-,-,2024040100
RAJACANAL 40 MLD,2024-03-31 23:45:00,7.64,28.90,1.19,2.7,28.68,3.64,4.18,8.16,5.71,-,-,-,2024040100
YELLAMALAPACHETTY 15 MLD,2024-04-01 00:00:00,7.48,28.76,0.55,2.19,37.93,9.13,9.34,5.77,2.67,-,-,-,2024040100
BELLANDUR 90 MLD,2024-03-28 13:00:00,7.71,30.00,1.04,1.5,27.91,6.82,10.41,5.58,5.82,-,-,-,2024040100
DODDABELE 20 MLD,2024-03-31 23:45:00,6.88,28.90,0.4,1.2,46.65,7.61,15.57,10.83,4.13,-,-,-,2024040100
NAGASANDRA OLD 20 MLD,2024-03-31 23:45:00,7.3,20.40,1.35,2.03,48.15,8.48,15.77,0.00,3.38,-,-,-,2024040100
4MLD Cubbon Park TTP,2024-03-31 23:45:00,6.7,31.20,0.7,4.73,17.32,1.23,0.92,5.02,3.50,-,-,-,2024040100
KADABEESANAHALLI 50 MLD,2024-03-31 23:45:00,8.86,24.70,0.87,2.96,66.60,9.63,27.43,8.04,3.91,-,-,-,2024040100
STP Sarakki 5 MLD,2024-03-31 23:45:00,7.74,29.80,1.11,2.22,20.82,8.02,7.69,4.16,-,-,-,-,2024040100
Mailasandra STP 75 MLD,2024-03-31 23:45:00,7.59,26.70,15.83,25.33,50.84,15.55,15.61,4.17,0.80,-,-,-,2024040100
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024040100
KR Puram STP 20 MLD,2024-03-31 23:45:00,6.99,27.00,1.6,3.2,50.54,8.11,22.86,7.08,-0.68,-,-,-,2024040100
1.5 MLD Lalbagh TTP,2024-03-31 23:45:00,7.15,29.70,0.34,1.7,18.70,1.53,1.07,18.07,12.80,-,-,-,2024040100
35MLD Agaram STP,2024-03-31 23:45:00,7.15,28.50,0.62,2.54,29.32,5.01,3.41,6.43,-,-,-,-,2024040100
Chikka_Bagur_5_MLD_STP,2024-03-27 14:15:00,8.15,27.50,0.94,1.9,43.50,7.1,7.4,14.20,-,-,-,-,2024040100
Yelahanka 10MLD TTP,2024-04-01 00:00:00,7.37,25.50,4.37,11.93,33.60,5.0,5.6,6.70,2.68,0.21,-,-,2024040100
40MLD OLD Rajacanal STP,2024-04-01 00:00:00,7.65,26.30,1.75,4.38,27.80,7.5,10.1,6.95,3.83,0.88,-,-,2024040100
Hennur 1MLD TTP,2024-03-30 21:15:00,7.2,29.40,0.25,0.38,21.10,2.7,4.0,5.06,4.25,0.05,-,-,2024040100
4_MLD_Madiwala_STP,2024-04-01 00:00:00,7.68,27.10,0.65,1.9,34.56,4.79,3.61,8.64,-,-,-,-,2024040100
150MLD STP_K&C valley,2024-03-31 23:45:00,7.31,-,1.03,5.73,-,4.5,9.69,-,-,0.99,-,-,2024040100
20Mld KR Puram STP New,2024-03-29 16:15:00,7.46,-,2.84,3.44,41.12,6.31,6.76,9.17,-,-,2.34,5.81,2024040100
10 MLD STP HULIMAVU,2024-03-31 23:45:00,7.18,-,4.86,6.43,44.46,2.66,5.03,1.20,-,-,10.03,9.81,2024040100
2MLD Ulsoor STP,2024-03-31 23:30:00,6.84,28.80,0.57,2.85,4.55,0.64,0.73,0.91,0.65,-,-,-,2024040101
CHIKKABANAVARA 5 MLD,2024-03-23 14:15:00,7.4,31.60,0.0,1008.0,27.01,4.06,4.54,9.79,0.00,-,-,-,2024040101
KADUGODI 6 MLD STP,2024-04-01 00:45:00,7.85,28.30,0.3,8.69,40.47,7.65,15.78,6.90,1.77,-,-,-,2024040101
HORAMAVU 20 MLD,2024-04-01 00:45:00,7.74,30.80,1.02,3.5,39.70,7.59,11.72,3.87,4.08,-,-,-,2024040101
K AND C VALLEY 60 MLD,2024-04-01 00:55:00,6.76,29.60,0.84,3.5,58.92,15.43,8.4,18.17,6.97,-,-,-,2024040101
NAGASANDRA 20 MLD,2024-04-01 00:45:00,7.4,27.20,1.1,4.4,46.61,9.06,11.01,8.22,4.09,-,-,-,2024040101
RAJACANAL 40 MLD,2024-04-01 00:45:00,7.64,29.00,1.2,2.7,28.65,3.64,4.14,8.16,5.76,-,-,-,2024040101
YELLAMALAPACHETTY 15 MLD,2024-04-01 01:00:00,7.47,28.73,0.55,2.18,39.94,9.15,9.36,5.78,2.63,-,-,-,2024040101
BELLANDUR 90 MLD,2024-03-28 13:00:00,7.71,30.00,1.04,1.5,27.91,6.82,10.41,5.58,5.82,-,-,-,2024040101
DODDABELE 20 MLD,2024-04-01 00:45:00,6.88,28.90,0.4,1.2,46.62,7.6,15.6,10.77,4.13,-,-,-,2024040101
NAGASANDRA OLD 20 MLD,2024-04-01 00:45:00,7.31,19.30,0.97,1.46,48.15,8.43,15.8,0.00,2.43,-,-,-,2024040101
4MLD Cubbon Park TTP,2024-04-01 00:45:00,6.72,31.00,0.68,4.73,17.32,1.23,0.92,5.02,3.40,-,-,-,2024040101
KADABEESANAHALLI 50 MLD,2024-04-01 00:45:00,8.88,25.20,0.9,3.06,66.63,9.62,28.78,8.04,4.05,-,-,-,2024040101
STP Sarakki 5 MLD,2024-04-01 00:45:00,7.77,29.70,1.11,2.22,20.78,7.96,7.53,4.16,-,-,-,-,2024040101
Mailasandra STP 75 MLD,2024-04-01 00:45:00,7.6,27.00,16.2,25.92,50.80,15.54,15.62,3.50,0.79,-,-,-,2024040101
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024040101
KR Puram STP 20 MLD,2024-04-01 00:45:00,6.99,26.90,1.63,3.26,50.70,7.91,23.63,7.10,-0.69,-,-,-,2024040101
1.5 MLD Lalbagh TTP,2024-04-01 00:45:00,7.16,29.50,0.34,1.7,18.64,1.52,1.06,18.74,11.97,-,-,-,2024040101
35MLD Agaram STP,2024-04-01 00:45:00,7.15,28.40,0.61,2.5,29.32,5.01,3.36,6.43,-,-,-,-,2024040101
Chikka_Bagur_5_MLD_STP,2024-03-27 14:15:00,8.15,27.50,0.94,1.9,43.50,7.1,7.4,14.20,-,-,-,-,2024040101
Yelahanka 10MLD TTP,2024-04-01 01:00:00,7.37,25.50,4.35,12.18,33.60,5.1,5.6,6.72,2.62,0.21,-,-,2024040101
40MLD OLD Rajacanal STP,2024-04-01 01:00:00,7.65,26.30,1.77,4.43,27.70,7.5,10.3,6.93,3.83,0.88,-,-,2024040101
Hennur 1MLD TTP,2024-03-30 21:15:00,7.2,29.40,0.25,0.38,21.10,2.7,4.0,5.06,4.25,0.05,-,-,2024040101
4_MLD_Madiwala_STP,2024-04-01 01:00:00,7.68,27.00,0.65,1.9,34.56,4.83,3.61,8.64,-,-,-,-,2024040101
150MLD STP_K&C valley,2024-04-01 00:45:00,7.25,-,1.04,5.72,-,4.5,9.69,-,-,0.98,-,-,2024040101
20Mld KR Puram STP New,2024-03-29 16:15:00,7.46,-,2.84,3.44,41.12,6.31,6.76,9.17,-,-,2.34,5.81,2024040101
10 MLD STP HULIMAVU,2024-04-01 00:45:00,7.18,-,4.86,6.43,44.46,2.66,5.03,1.20,-,-,0.00,0.08,2024040101
2MLD Ulsoor STP,2024-03-31 23:30:00,6.84,28.80,0.57,2.85,4.55,0.64,0.73,0.91,0.65,-,-,-,2024040102
CHIKKABANAVARA 5 MLD,2024-03-23 14:15:00,7.4,31.60,0.0,1008.0,27.01,4.06,4.54,9.79,0.00,-,-,-,2024040102
KADUGODI 6 MLD STP,2024-04-01 01:45:00,7.77,28.30,0.3,8.68,40.34,7.64,15.13,6.90,1.77,-,-,-,2024040102
HORAMAVU 20 MLD,2024-04-01 01:45:00,7.74,30.80,1.04,3.4,39.66,7.59,11.67,3.80,4.16,-,-,-,2024040102
K AND C VALLEY 60 MLD,2024-04-01 01:53:30,6.88,29.40,0.83,3.4,58.80,15.4,8.18,18.08,6.89,-,-,-,2024040102
NAGASANDRA 20 MLD,2024-04-01 01:45:00,7.41,27.90,1.21,4.84,46.54,9.08,10.99,9.38,4.18,-,-,-,2024040102
RAJACANAL 40 MLD,2024-04-01 01:45:00,7.65,28.90,1.2,2.7,28.64,3.64,4.12,8.16,5.76,-,-,-,2024040102
YELLAMALAPACHETTY 15 MLD,2024-04-01 02:00:00,7.46,28.68,0.54,2.18,43.52,9.16,9.46,5.76,3.25,-,-,-,2024040102
BELLANDUR 90 MLD,2024-03-28 13:00:00,7.71,30.00,1.04,1.5,27.91,6.82,10.41,5.58,5.82,-,-,-,2024040102
DODDABELE 20 MLD,2024-04-01 01:45:00,6.86,29.00,0.4,1.2,47.91,7.56,17.79,10.70,4.12,-,-,-,2024040102
NAGASANDRA OLD 20 MLD,2024-04-01 01:45:00,7.22,20.60,1.09,1.63,48.24,8.46,15.96,0.00,2.73,-,-,-,2024040102
