stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
2MLD Ulsoor STP,2024-04-30 20:30:00,6.93,30.60,0.55,2.75,19.25,2.69,3.08,3.85,2.75,-,-,-,2024050100
CHIKKABANAVARA 5 MLD,2024-03-23 14:15:00,7.4,31.60,0.0,1008.0,27.01,4.06,4.54,9.79,0.00,-,-,-,2024050100
KADUGODI 6 MLD STP,2024-04-30 23:45:00,7.79,29.50,0.3,7.89,36.75,6.99,8.8,6.60,1.77,-,-,-,2024050100
HORAMAVU 20 MLD,2024-04-30 23:45:00,7.77,32.30,1.13,3.0,39.82,8.55,9.85,6.13,4.52,-,-,-,2024050100
K AND C VALLEY 60 MLD,2024-04-30 23:52:00,6.78,31.10,0.89,3.4,32.74,5.14,6.61,12.43,7.39,-,-,-,2024050100
NAGASANDRA 20 MLD,2024-04-30 23:45:00,7.6,29.50,0.75,3.0,48.53,9.74,12.22,7.36,4.43,-,-,-,2024050100
RAJACANAL 40 MLD,2024-04-30 23:45:00,7.65,30.30,1.39,2.3,28.39,3.50,4.05,8.02,6.67,-,-,-,2024050100
YELLAMALAPACHETTY 15 MLD,2024-05-01 00:00:30,7.93,30.51,0.58,2.32,-,-,8.7,7.24,3.06,-,-,-,2024050100
BELLANDUR 90 MLD,2024-04-30 23:45:00,7.51,30.60,0.56,3.2,27.15,4.98,7.3,5.43,3.14,-,-,-,2024050100
DODDABELE 20 MLD,2024-04-30 23:45:00,6.74,30.70,0.46,3.3,36.93,6.17,8.88,9.80,4.04,-,-,-,2024050100
NAGASANDRA OLD 20 MLD,2024-04-30 23:45:00,6.48,27.30,4.53,6.8,47.37,7.97,13.93,0.00,11.33,-,-,-,2024050100
4MLD Cubbon Park TTP,2024-04-30 23:45:00,6.52,32.50,0.73,4.73,17.33,1.23,0.92,5.02,3.65,-,-,-,2024050100
KADABEESANAHALLI 50 MLD,2024-04-30 23:45:00,11.62,26.70,213.29,725.19,55.04,9.47,18.71,7.24,959.80,-,-,-,2024050100
STP Sarakki 5 MLD,2024-04-30 23:30:00,7.78,32.20,1.37,2.74,21.01,8.30,7.75,4.20,-,-,-,-,2024050100
