stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2022-11-30 23:45:00,7.41,25.00,0.51,2.30,30.2,2.20,3.8,6.04,4.89,2022120100
CHIKKABANAVARA 5 MLD,2022-11-30 23:45:00,7.19,24.90,0.90,2.70,41.79,7.38,12.72,14.39,3.72,2022120100
KADUGODI 6 MLD STP,2022-11-30 23:45:00,7.81,24.70,1.20,2.50,79.09,0.00,12.79,29.12,3.92,2022120100
HORAMAVU 20 MLD,2022-12-01 00:00:00,7.31,26.30,0.57,4.10,28.56,6.85,9.74,9.32,2.85,2022120100
K AND C VALLEY 60 MLD,2022-12-01 00:00:00,7.53,25.70,1.82,4.10,28.76,3.48,10.96,5.24,4.55,2022120100
NAGASANDRA 20 MLD,2022-11-30 23:45:00,7.03,26.30,0.69,3.30,91.03,4.00,35.81,11.40,3.94,2022120100
RAJACANAL 40 MLD,2022-11-30 23:45:00,7.12,25.30,0.89,3.40,28.49,3.53,4.12,8.01,4.63,2022120100
YELLAMALAPACHETTY 15 MLD,2022-12-01 00:00:00,6.99,24.60,0.30,0.80,35.12,6.22,7.0,6.14,-,2022120100
BELLANDUR 90 MLD,2022-12-01 00:00:00,7.55,25.70,0.44,0.60,26.26,4.19,6.49,7.96,-,2022120100
DODDABELE 20 MLD,2022-11-30 23:45:00,7.34,25.00,0.17,2.50,38.79,7.76,6.49,12.05,4.40,2022120100
MALLATHALLI 5 MLD,2022-12-01 00:00:00,7.98,26.60,2.45,4.66,23.35,4.50,4.9,14.10,4.90,2022120100
NAGASANDRA OLD 20 MLD,2022-11-30 23:45:00,6.39,23.80,0.54,0.81,58.83,5.96,54.61,2.82,9.24,2022120100
4MLD Cubbon Park TTP,2022-12-01 00:00:00,7.03,26.80,0.18,4.68,17.32,1.18,0.92,5.02,0.72,2022120100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.0,0.00,0.0,-,-,2022120100
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.0,0.00,0.0,-,-,2022120100
KADABEESANAHALLI 50 MLD,2022-11-30 23:45:00,8.16,22.20,0.36,1.80,54.67,11.03,14.59,10.06,5.71,2022120100
STP Sarakki 5 MLD,2022-12-01 00:00:00,5.01,26.20,-,-,19.04,5.34,7.07,3.81,-,2022120100
Kempambudhi STP 1 MLD,2022-11-30 23:45:00,7.11,23.80,0.61,1.90,22.31,4.08,5.03,5.39,4.21,2022120100
Mailasandra STP 75 MLD,2022-12-01 00:00:00,7.4,22.20,3.32,1.27,46.32,8.60,14.39,12.22,1.06,2022120100
60 MLD V.Valley TTP,2022-12-01 00:00:00,7.02,24.70,1.01,2.42,20.14,2.02,3.17,4.74,2.32,2022120100
KR Puram STP 20 MLD,2022-11-30 23:45:00,7.04,23.50,1.85,3.70,82.42,11.54,142.67,0.00,5.56,2022120100
1.5 MLD Lalbagh TTP,2022-11-30 23:45:00,6.22,23.20,0.67,3.35,17.11,1.33,0.98,1.74,2.65,2022120100
35MLD Agaram STP,2022-12-01 00:00:00,7.75,26.50,0.26,1.07,20.2,3.90,3.7,3.51,-,2022120100
Chikka_Bagur_5_MLD_STP,2022-12-01 00:04:00,8.03,26.30,-,-,41.8,-,7.6,11.00,-,2022120100
