stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
2MLD Ulsoor STP,2023-12-31 23:45:00,7.35,24.70,0.31,1.55,22.26,3.12,3.56,4.45,3.18,-,-,-,2024010100
CHIKKABANAVARA 5 MLD,2023-12-31 23:30:00,7.43,22.50,0.36,3.4,28.57,4.42,4.61,11.11,2.88,-,-,-,2024010100
KADUGODI 6 MLD STP,2023-12-31 23:45:00,7.9,26.00,0.5,4.42,36.48,6.86,9.51,6.59,2.95,-,-,-,2024010100
HORAMAVU 20 MLD,2023-12-31 23:45:00,7.75,26.90,0.96,5.6,-,-,31.23,3.08,3.84,-,-,-,2024010100
K AND C VALLEY 60 MLD,2023-12-31 23:45:00,6.99,25.50,0.44,3.9,38.27,13.46,6.39,10.76,3.65,-,-,-,2024010100
NAGASANDRA 20 MLD,2023-12-31 23:45:00,7.73,24.20,0.98,3.92,186.22,10.19,46.15,4.51,3.63,-,-,-,2024010100
RAJACANAL 40 MLD,2023-12-31 23:45:00,7.66,25.10,0.87,3.4,28.28,3.47,4.0,8.05,4.18,-,-,-,2024010100
YELLAMALAPACHETTY 15 MLD,2023-12-31 23:58:30,6.84,25.35,0.51,2.03,7.45,7.41,10.48,4.87,-0.87,-,-,-,2024010100
BELLANDUR 90 MLD,2023-12-31 23:45:00,7.68,24.90,0.55,1.5,27.03,4.80,6.68,5.41,3.08,-,-,-,2024010100
DODDABELE 20 MLD,2023-12-31 23:45:00,7.03,24.80,0.83,3.5,38.17,5.99,8.4,9.83,4.22,-,-,-,2024010100
NAGASANDRA OLD 20 MLD,2023-12-31 23:45:00,7.39,21.60,1.25,1.88,506.65,10.12,453.02,0.00,4.48,-,-,-,2024010100
4MLD Cubbon Park TTP,2023-12-31 23:45:00,7.07,27.00,0.74,4.7,17.31,1.20,0.94,5.02,3.70,-,-,-,2024010100
KADABEESANAHALLI 50 MLD,2023-12-27 11:30:00,6.68,21.80,0.85,3.84,45.55,8.53,8.0,7.59,3.41,-,-,-,2024010100
STP Sarakki 5 MLD,2023-12-31 23:45:00,8.03,26.00,0.56,1.12,18.79,4.94,5.87,3.76,-,-,-,-,2024010100
Mailasandra STP 75 MLD,2023-12-31 23:45:00,7.37,23.40,4.56,7.3,45.27,7.96,18.91,14.34,-0.85,-,-,-,2024010100
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024010100
KR Puram STP 20 MLD,2024-01-01 00:00:00,7.13,23.70,1.73,3.46,83.50,7.33,141.36,11.69,1.22,-,-,-,2024010100
1.5 MLD Lalbagh TTP,2023-12-31 23:15:00,7.22,24.10,0.92,4.53,18.25,1.51,1.24,4.01,2.71,-,-,-,2024010100
35MLD Agaram STP,2024-01-01 00:00:00,7.29,24.40,0.74,3.03,29.89,5.10,4.07,6.56,-,-,-,-,2024010100
Chikka_Bagur_5_MLD_STP,2024-01-01 00:00:00,7.59,24.30,7.02,14.0,44.00,6.20,9.6,12.40,-,-,-,-,2024010100
