stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
Yelahanka 10MLD TTP,2023-12-30 09:15:00,7.4,23.00,1.63,4.65,44.90,7.20,4.2,8.99,3.11,0.20,-,-,2024010100
40MLD OLD Rajacanal STP,2024-01-01 00:00:00,7.67,22.90,1.13,2.03,25.90,6.60,7.4,6.47,3.84,0.56,-,-,2024010100
Hennur 1MLD TTP,2023-12-21 17:45:00,7.52,25.60,2.04,3.06,26.10,5.10,5.0,5.30,4.18,0.41,-,-,2024010100
4_MLD_Madiwala_STP,2024-01-01 00:00:00,7.69,22.50,1.68,4.9,34.40,2.23,3.74,8.60,-,-,-,-,2024010100
150MLD STP_K&C valley,2023-12-31 23:45:00,6.98,-,3.58,3.44,-,6.00,10.12,-,-,0.41,-,-,2024010100
20Mld KR Puram STP New,2023-12-31 23:45:00,0.0,-,0.0,0.0,0.00,0.00,0.0,0.00,-,-,19.06,22.75,2024010100
10 MLD STP HULIMAVU,2023-12-29 15:15:00,7.44,-,3.73,5.76,45.63,2.73,6.18,1.20,-,-,5.68,6.16,2024010100
2MLD Ulsoor STP,2024-01-01 00:30:00,7.34,24.70,0.33,1.65,21.42,3.0,3.43,4.28,3.06,-,-,-,2024010101
CHIKKABANAVARA 5 MLD,2024-01-01 00:30:00,7.42,22.40,0.36,3.4,28.69,4.42,4.64,10.96,2.88,-,-,-,2024010101
KADUGODI 6 MLD STP,2024-01-01 00:45:00,7.9,26.10,0.5,4.48,36.46,6.86,9.42,6.59,2.95,-,-,-,2024010101
HORAMAVU 20 MLD,2024-01-01 00:45:00,7.71,26.90,0.95,5.5,66.02,5.04,31.7,0.00,3.80,-,-,-,2024010101
K AND C VALLEY 60 MLD,2024-01-01 00:45:00,7.0,25.50,0.44,3.9,38.40,13.44,6.69,10.85,3.65,-,-,-,2024010101
NAGASANDRA 20 MLD,2024-01-01 00:45:00,7.72,24.00,0.97,3.88,195.50,9.21,48.89,5.10,3.62,-,-,-,2024010101
RAJACANAL 40 MLD,2024-01-01 00:45:00,7.66,25.10,0.87,3.4,28.26,3.47,3.99,8.05,4.18,-,-,-,2024010101
YELLAMALAPACHETTY 15 MLD,2024-01-01 00:58:30,6.84,25.34,0.51,2.03,7.21,7.31,10.46,4.86,2.36,-,-,-,2024010101
BELLANDUR 90 MLD,2024-01-01 00:45:00,7.68,24.90,0.55,1.5,27.04,4.78,6.71,5.41,3.08,-,-,-,2024010101
DODDABELE 20 MLD,2024-01-01 00:45:00,7.04,24.70,0.83,3.5,38.24,5.96,8.57,9.76,4.22,-,-,-,2024010101
NAGASANDRA OLD 20 MLD,2024-01-01 00:45:00,7.35,18.90,1.45,2.18,509.28,10.82,448.06,0.00,5.70,-,-,-,2024010101
4MLD Cubbon Park TTP,2024-01-01 00:45:00,6.99,26.90,0.73,4.7,17.31,1.2,0.94,5.02,3.65,-,-,-,2024010101
KADABEESANAHALLI 50 MLD,2023-12-27 11:30:00,6.68,21.80,0.85,3.84,45.55,8.53,8.0,7.59,3.41,-,-,-,2024010101
STP Sarakki 5 MLD,2024-01-01 00:45:00,8.03,26.00,0.55,1.1,18.79,4.95,5.87,3.76,-,-,-,-,2024010101
Mailasandra STP 75 MLD,2024-01-01 00:45:00,7.36,23.40,4.54,7.26,45.25,7.94,18.93,14.63,-0.85,-,-,-,2024010101
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024010101
KR Puram STP 20 MLD,2024-01-01 01:00:00,7.13,23.60,1.7,3.4,84.27,6.64,144.5,11.80,1.22,-,-,-,2024010101
1.5 MLD Lalbagh TTP,2023-12-31 23:15:00,7.22,24.10,0.92,4.53,18.25,1.51,1.24,4.01,2.71,-,-,-,2024010101
35MLD Agaram STP,2024-01-01 01:00:00,7.29,24.20,0.74,3.03,29.89,5.1,4.07,6.56,-,-,-,-,2024010101
Chikka_Bagur_5_MLD_STP,2024-01-01 01:00:00,7.44,24.30,7.19,14.4,44.00,6.4,9.4,12.80,-,-,-,-,2024010101
Yelahanka 10MLD TTP,2023-12-30 09:15:00,7.4,23.00,1.63,4.65,44.90,7.2,4.2,8.99,3.11,0.20,-,-,2024010101
40MLD OLD Rajacanal STP,2024-01-01 01:00:00,7.68,22.80,1.13,2.03,25.90,6.7,7.6,6.47,3.84,0.56,-,-,2024010101
Hennur 1MLD TTP,2023-12-21 17:45:00,7.52,25.60,2.04,3.06,26.10,5.1,5.0,5.30,4.18,0.41,-,-,2024010101
4_MLD_Madiwala_STP,2024-01-01 01:00:00,7.69,22.50,1.68,4.9,34.40,2.18,3.74,8.60,-,-,-,-,2024010101
150MLD STP_K&C valley,2024-01-01 00:45:00,7.01,-,3.58,3.44,-,6.0,10.12,-,-,0.41,-,-,2024010101
20Mld KR Puram STP New,2024-01-01 00:45:00,0.0,-,0.0,0.0,0.00,0.0,0.0,0.00,-,-,0.10,0.81,2024010101
10 MLD STP HULIMAVU,2023-12-29 15:15:00,7.44,-,3.73,5.76,45.63,2.73,6.18,1.20,-,-,5.68,6.16,2024010101
2MLD Ulsoor STP,2024-01-01 01:15:00,7.33,24.60,0.32,1.6,21.49,3.01,3.44,4.30,3.07,-,-,-,2024010102
CHIKKABANAVARA 5 MLD,2024-01-01 01:30:00,7.43,22.40,0.36,3.4,28.58,4.4,4.61,10.73,2.88,-,-,-,2024010102
KADUGODI 6 MLD STP,2024-01-01 01:45:00,7.92,26.40,0.5,4.54,36.46,6.86,9.48,6.60,2.95,-,-,-,2024010102
HORAMAVU 20 MLD,2024-01-01 01:45:00,7.73,27.10,0.97,5.4,66.60,5.77,30.38,3.28,3.88,-,-,-,2024010102
K AND C VALLEY 60 MLD,2024-01-01 01:45:00,7.0,25.50,0.44,3.9,38.07,13.56,5.8,11.28,3.65,-,-,-,2024010102
NAGASANDRA 20 MLD,2024-01-01 01:45:00,7.73,24.00,0.97,3.88,195.42,10.32,48.81,6.25,3.60,-,-,-,2024010102
RAJACANAL 40 MLD,2024-01-01 01:45:00,7.67,25.10,0.86,3.4,28.27,3.47,4.0,8.03,4.13,-,-,-,2024010102
YELLAMALAPACHETTY 15 MLD,2024-01-01 01:58:30,6.87,25.46,0.51,2.04,18.28,7.42,10.68,4.87,-0.86,-,-,-,2024010102
BELLANDUR 90 MLD,2024-01-01 01:45:00,7.68,24.90,0.55,1.5,27.04,4.76,6.75,5.41,3.08,-,-,-,2024010102
DODDABELE 20 MLD,2024-01-01 01:45:00,7.05,24.70,0.84,3.5,38.27,5.96,8.58,9.82,4.23,-,-,-,2024010102
NAGASANDRA OLD 20 MLD,2024-01-01 01:45:00,7.31,17.10,1.47,2.2,505.24,10.63,444.83,0.00,6.26,-,-,-,2024010102
4MLD Cubbon Park TTP,2024-01-01 01:45:00,7.07,26.90,0.74,4.69,17.31,1.19,0.94,5.02,3.70,-,-,-,2024010102
KADABEESANAHALLI 50 MLD,2023-12-27 11:30:00,6.68,21.80,0.85,3.84,45.55,8.53,8.0,7.59,3.41,-,-,-,2024010102
STP Sarakki 5 MLD,2024-01-01 01:45:00,8.03,26.00,0.56,1.12,18.78,4.93,5.87,3.76,-,-,-,-,2024010102
Mailasandra STP 75 MLD,2024-01-01 01:45:00,7.36,23.30,4.51,7.22,45.28,7.97,18.93,14.31,-0.86,-,-,-,2024010102
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024010102
KR Puram STP 20 MLD,2024-01-01 01:45:00,7.13,23.60,1.73,3.46,86.60,5.03,152.07,12.12,1.22,-,-,-,2024010102
1.5 MLD Lalbagh TTP,2023-12-31 23:15:00,7.22,24.10,0.92,4.53,18.25,1.51,1.24,4.01,2.71,-,-,-,2024010102
35MLD Agaram STP,2024-01-01 02:00:00,7.27,24.30,0.73,2.99,29.81,5.09,4.02,6.54,-,-,-,-,2024010102
Chikka_Bagur_5_MLD_STP,2024-01-01 02:00:00,7.58,24.20,7.41,14.8,44.10,6.3,9.9,12.60,-,-,-,-,2024010102
Yelahanka 10MLD TTP,2023-12-30 09:15:00,7.4,23.00,1.63,4.65,44.90,7.2,4.2,8.99,3.11,0.20,-,-,2024010102
40MLD OLD Rajacanal STP,2024-01-01 02:00:00,7.68,22.80,1.13,2.03,25.90,6.6,7.4,6.47,3.84,0.56,-,-,2024010102
Hennur 1MLD TTP,2023-12-21 17:45:00,7.52,25.60,2.04,3.06,26.10,5.1,5.0,5.30,4.18,0.41,-,-,2024010102
4_MLD_Madiwala_STP,2024-01-01 02:00:00,7.69,22.50,1.67,4.8,34.40,2.22,3.73,8.60,-,-,-,-,2024010102
150MLD STP_K&C valley,2024-01-01 01:45:00,7.01,-,3.58,3.44,-,6.0,10.12,-,-,0.41,-,-,2024010102
20Mld KR Puram STP New,2024-01-01 01:45:00,0.0,-,0.0,0.0,0.00,0.0,0.0,0.00,-,-,0.10,1.57,2024010102
10 MLD STP HULIMAVU,2023-12-29 15:15:00,7.44,-,3.73,5.76,45.63,2.73,6.18,1.20,-,-,5.68,6.16,2024010102
2MLD Ulsoor STP,2024-01-01 02:45:00,7.33,24.50,0.32,1.6,20.37,2.85,3.26,4.07,2.91,-,-,-,2024010103
CHIKKABANAVARA 5 MLD,2024-01-01 02:30:00,7.43,22.40,0.36,3.4,28.64,4.39,4.64,11.11,2.88,-,-,-,2024010103
KADUGODI 6 MLD STP,2024-01-01 02:45:00,7.93,26.70,0.5,4.61,36.44,6.86,9.28,6.60,2.95,-,-,-,2024010103
HORAMAVU 20 MLD,2024-01-01 02:45:00,7.73,27.00,0.97,5.4,66.07,5.67,30.45,1.79,3.88,-,-,-,2024010103
K AND C VALLEY 60 MLD,2024-01-01 02:45:00,6.98,25.50,0.44,3.9,38.19,13.62,5.93,11.39,3.65,-,-,-,2024010103
NAGASANDRA 20 MLD,2024-01-01 02:45:00,7.74,23.90,0.96,3.84,198.77,9.78,49.39,5.19,3.60,-,-,-,2024010103
RAJACANAL 40 MLD,2024-01-01 02:45:00,7.67,25.10,0.87,3.4,28.28,3.47,4.01,8.03,4.18,-,-,-,2024010103
YELLAMALAPACHETTY 15 MLD,2024-01-01 02:58:30,6.89,25.53,0.51,2.04,11.67,7.38,10.66,4.83,2.30,-,-,-,2024010103
BELLANDUR 90 MLD,2024-01-01 02:45:00,7.68,24.80,0.55,1.5,27.04,4.79,6.74,5.41,3.08,-,-,-,2024010103
DODDABELE 20 MLD,2024-01-01 02:45:00,7.06,24.60,0.84,3.5,38.25,5.93,8.68,9.83,4.24,-,-,-,2024010103
NAGASANDRA OLD 20 MLD,2024-01-01 02:45:00,7.2,17.00,1.62,2.43,501.15,10.27,443.1,0.00,6.44,-,-,-,2024010103
4MLD Cubbon Park TTP,2024-01-01 02:45:00,7.08,26.90,0.74,4.69,17.31,1.19,0.94,5.02,3.70,-,-,-,2024010103
KADABEESANAHALLI 50 MLD,2023-12-27 11:30:00,6.68,21.80,0.85,3.84,45.55,8.53,8.0,7.59,3.41,-,-,-,2024010103
STP Sarakki 5 MLD,2024-01-01 02:45:00,8.03,26.00,0.55,1.1,18.79,4.95,5.89,3.76,-,-,-,-,2024010103
Mailasandra STP 75 MLD,2024-01-01 02:45:00,7.35,23.20,4.49,7.18,45.26,7.96,18.93,14.28,-0.86,-,-,-,2024010103
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024010103
KR Puram STP 20 MLD,2024-01-01 03:00:00,7.12,23.50,1.75,3.5,86.70,5.32,153.1,12.14,1.22,-,-,-,2024010103
1.5 MLD Lalbagh TTP,2023-12-31 23:15:00,7.22,24.10,0.92,4.53,18.25,1.51,1.24,4.01,2.71,-,-,-,2024010103
35MLD Agaram STP,2024-01-01 03:00:00,7.31,24.30,0.75,3.08,29.97,5.12,4.12,6.58,-,-,-,-,2024010103
Chikka_Bagur_5_MLD_STP,2024-01-01 03:00:00,7.56,24.20,6.69,13.4,43.80,6.3,9.1,12.60,-,-,-,-,2024010103
Yelahanka 10MLD TTP,2023-12-30 09:15:00,7.4,23.00,1.63,4.65,44.90,7.2,4.2,8.99,3.11,0.20,-,-,2024010103
40MLD OLD Rajacanal STP,2024-01-01 03:00:00,7.68,22.70,1.12,2.02,25.90,6.6,7.4,6.47,3.84,0.56,-,-,2024010103
Hennur 1MLD TTP,2023-12-21 17:45:00,7.52,25.60,2.04,3.06,26.10,5.1,5.0,5.30,4.18,0.41,-,-,2024010103
4_MLD_Madiwala_STP,2024-01-01 03:00:00,7.69,22.40,1.68,4.9,34.40,2.23,3.74,8.60,-,-,-,-,2024010103
150MLD STP_K&C valley,2024-01-01 02:45:00,6.98,-,3.59,3.44,-,6.0,10.12,-,-,0.41,-,-,2024010103
20Mld KR Puram STP New,2024-01-01 02:45:00,0.0,-,0.0,0.0,0.00,0.0,0.0,0.00,-,-,0.17,1.57,2024010103
10 MLD STP HULIMAVU,2023-12-29 15:15:00,7.44,-,3.73,5.76,45.63,2.73,6.18,1.20,-,-,5.68,6.16,2024010103
2MLD Ulsoor STP,2024-01-01 03:30:00,7.32,24.50,0.32,1.6,19.25,2.69,3.08,3.85,2.75,-,-,-,2024010104
CHIKKABANAVARA 5 MLD,2024-01-01 03:30:00,7.43,22.40,0.36,3.4,28.63,4.42,4.63,11.04,2.88,-,-,-,2024010104
KADUGODI 6 MLD STP,2024-01-01 03:45:00,7.95,26.80,0.5,4.69,36.43,6.86,9.35,6.59,2.95,-,-,-,2024010104
HORAMAVU 20 MLD,2024-01-01 03:45:00,7.72,26.90,0.96,5.4,65.63,5.71,30.49,2.61,3.84,-,-,-,2024010104
K AND C VALLEY 60 MLD,2024-01-01 03:45:00,6.98,25.50,0.44,3.9,38.41,13.61,6.1,11.25,3.65,-,-,-,2024010104
NAGASANDRA 20 MLD,2024-01-01 03:45:00,7.75,23.80,0.93,3.72,201.86,10.34,49.68,6.59,3.59,-,-,-,2024010104
RAJACANAL 40 MLD,2024-01-01 03:45:00,7.67,25.10,0.86,3.4,28.26,3.47,3.98,8.02,4.13,-,-,-,2024010104
YELLAMALAPACHETTY 15 MLD,2024-01-01 03:58:30,6.89,25.51,0.51,2.04,39.30,7.47,11.18,4.92,-0.83,-,-,-,2024010104
BELLANDUR 90 MLD,2024-01-01 03:45:00,7.68,24.80,0.55,1.6,27.04,4.78,6.74,5.41,3.08,-,-,-,2024010104
DODDABELE 20 MLD,2024-01-01 03:45:00,7.04,24.60,0.87,3.6,37.16,5.72,7.78,9.82,4.22,-,-,-,2024010104
NAGASANDRA OLD 20 MLD,2024-01-01 03:45:00,7.12,17.00,1.73,2.6,500.74,8.78,442.57,0.00,6.53,-,-,-,2024010104
4MLD Cubbon Park TTP,2024-01-01 03:45:00,6.98,26.80,0.74,4.69,17.30,1.19,0.93,5.02,3.70,-,-,-,2024010104
KADABEESANAHALLI 50 MLD,2023-12-27 11:30:00,6.68,21.80,0.85,3.84,45.55,8.53,8.0,7.59,3.41,-,-,-,2024010104
STP Sarakki 5 MLD,2024-01-01 03:45:00,8.03,26.00,0.56,1.12,18.80,4.96,5.91,3.76,-,-,-,-,2024010104
Mailasandra STP 75 MLD,2024-01-01 03:45:00,7.36,23.10,4.49,7.18,45.26,7.96,18.93,14.43,-0.86,-,-,-,2024010104
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024010104
KR Puram STP 20 MLD,2024-01-01 04:00:00,7.13,23.40,1.74,3.48,86.33,4.77,149.01,12.09,1.23,-,-,-,2024010104
1.5 MLD Lalbagh TTP,2023-12-31 23:15:00,7.22,24.10,0.92,4.53,18.25,1.51,1.24,4.01,2.71,-,-,-,2024010104
35MLD Agaram STP,2024-01-01 04:00:00,7.31,24.20,0.75,3.08,29.97,5.12,4.12,6.58,-,-,-,-,2024010104
Chikka_Bagur_5_MLD_STP,2024-01-01 04:00:00,7.37,24.20,7.26,14.5,44.00,6.5,9.1,13.00,-,-,-,-,2024010104
Yelahanka 10MLD TTP,2023-12-30 09:15:00,7.4,23.00,1.63,4.65,44.90,7.2,4.2,8.99,3.11,0.20,-,-,2024010104
40MLD OLD Rajacanal STP,2024-01-01 04:00:00,7.68,22.70,1.11,2.0,25.90,6.6,7.4,6.47,3.84,0.56,-,-,2024010104
Hennur 1MLD TTP,2023-12-21 17:45:00,7.52,25.60,2.04,3.06,26.10,5.1,5.0,5.30,4.18,0.41,-,-,2024010104
4_MLD_Madiwala_STP,2024-01-01 04:00:00,7.7,22.30,1.67,4.8,34.40,2.21,3.74,8.60,-,-,-,-,2024010104
150MLD STP_K&C valley,2024-01-01 03:45:00,7.01,-,3.58,3.44,-,6.0,10.12,-,-,0.41,-,-,2024010104
20Mld KR Puram STP New,2024-01-01 03:45:00,0.0,-,0.0,0.0,0.00,0.0,0.0,0.00,-,-,0.65,1.57,2024010104
10 MLD STP HULIMAVU,2023-12-29 15:15:00,7.44,-,3.73,5.76,45.63,2.73,6.18,1.20,-,-,5.68,6.16,2024010104
2MLD Ulsoor STP,2024-01-01 04:15:00,7.32,24.50,0.32,1.6,19.04,2.67,3.05,3.81,2.72,-,-,-,2024010105
CHIKKABANAVARA 5 MLD,2024-01-01 04:30:00,7.43,22.30,0.36,3.4,28.58,4.41,4.62,11.08,2.88,-,-,-,2024010105
KADUGODI 6 MLD STP,2024-01-01 04:45:00,7.97,27.00,0.5,4.75,36.56,6.86,10.32,6.59,2.95,-,-,-,2024010105
HORAMAVU 20 MLD,2024-01-01 04:45:00,7.68,27.00,0.96,5.3,63.22,5.76,29.68,1.82,3.84,-,-,-,2024010105
K AND C VALLEY 60 MLD,2024-01-01 04:45:00,6.98,25.50,0.44,3.9,38.25,13.67,5.83,11.37,3.65,-,-,-,2024010105
NAGASANDRA 20 MLD,2024-01-01 04:45:00,7.77,23.60,0.86,3.44,202.71,10.24,49.8,6.31,3.56,-,-,-,2024010105
RAJACANAL 40 MLD,2024-01-01 04:45:00,7.67,25.10,0.86,3.4,28.27,3.47,4.0,8.03,4.13,-,-,-,2024010105
YELLAMALAPACHETTY 15 MLD,2024-01-01 04:45:00,6.88,25.49,0.51,2.04,37.25,7.49,11.11,4.97,2.17,-,-,-,2024010105
BELLANDUR 90 MLD,2024-01-01 04:45:00,7.68,24.80,0.55,1.6,27.04,4.78,6.74,5.41,3.08,-,-,-,2024010105
DODDABELE 20 MLD,2024-01-01 04:45:00,7.03,24.50,0.86,3.6,37.04,5.71,7.76,9.83,4.22,-,-,-,2024010105
NAGASANDRA OLD 20 MLD,2024-01-01 04:45:00,7.09,16.60,1.79,2.68,501.05,8.15,443.96,0.00,6.73,-,-,-,2024010105
4MLD Cubbon Park TTP,2024-01-01 04:45:00,6.99,26.90,0.73,4.69,17.31,1.19,0.94,5.02,3.65,-,-,-,2024010105
KADABEESANAHALLI 50 MLD,2023-12-27 11:30:00,6.68,21.80,0.85,3.84,45.55,8.53,8.0,7.59,3.41,-,-,-,2024010105
STP Sarakki 5 MLD,2024-01-01 04:45:00,8.02,25.90,0.55,1.1,18.80,4.96,5.9,3.76,-,-,-,-,2024010105
Mailasandra STP 75 MLD,2024-01-01 04:45:00,7.35,23.10,4.49,7.18,45.26,7.95,18.94,14.53,-0.86,-,-,-,2024010105
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024010105
KR Puram STP 20 MLD,2024-01-01 04:45:00,7.13,23.40,1.75,3.5,87.31,5.71,152.07,12.22,1.23,-,-,-,2024010105
1.5 MLD Lalbagh TTP,2024-01-01 05:00:00,7.31,21.10,0.77,3.95,18.24,1.5,1.24,4.61,3.07,-,-,-,2024010105
35MLD Agaram STP,2024-01-01 05:00:00,7.31,24.20,0.75,3.08,29.97,5.12,4.12,6.58,-,-,-,-,2024010105
Chikka_Bagur_5_MLD_STP,2024-01-01 05:00:00,7.49,24.20,7.4,14.8,43.90,6.3,9.3,12.60,-,-,-,-,2024010105
Yelahanka 10MLD TTP,2023-12-30 09:15:00,7.4,23.00,1.63,4.65,44.90,7.2,4.2,8.99,3.11,0.20,-,-,2024010105
40MLD OLD Rajacanal STP,2024-01-01 05:00:00,7.68,22.70,1.1,1.98,25.90,6.6,7.4,6.47,3.84,0.55,-,-,2024010105
Hennur 1MLD TTP,2023-12-21 17:45:00,7.52,25.60,2.04,3.06,26.10,5.1,5.0,5.30,4.18,0.41,-,-,2024010105
4_MLD_Madiwala_STP,2024-01-01 05:00:00,7.7,22.30,1.68,4.9,34.40,2.22,3.73,8.60,-,-,-,-,2024010105
150MLD STP_K&C valley,2024-01-01 04:45:00,7.04,-,3.58,3.44,-,6.0,10.12,-,-,0.41,-,-,2024010105
20Mld KR Puram STP New,2024-01-01 04:45:00,0.0,-,0.0,0.0,0.00,0.0,0.0,0.00,-,-,0.65,1.75,2024010105
10 MLD STP HULIMAVU,2023-12-29 15:15:00,7.44,-,3.73,5.76,45.63,2.73,6.18,1.20,-,-,5.68,6.16,2024010105
2MLD Ulsoor STP,2024-01-01 05:45:00,7.31,24.40,0.32,1.6,18.20,2.55,2.91,3.64,2.60,-,-,-,2024010106
CHIKKABANAVARA 5 MLD,2024-01-01 05:30:00,7.43,22.30,0.36,3.4,28.62,4.41,4.63,11.11,2.88,-,-,-,2024010106
KADUGODI 6 MLD STP,2024-01-01 05:45:00,7.98,27.10,0.5,4.78,36.55,6.86,10.28,6.60,2.95,-,-,-,2024010106
HORAMAVU 20 MLD,2024-01-01 05:45:00,7.74,27.10,0.97,5.6,63.10,5.92,29.02,1.27,3.88,-,-,-,2024010106
K AND C VALLEY 60 MLD,2024-01-01 05:30:00,6.98,25.50,0.44,3.9,38.62,13.73,6.2,11.63,3.65,-,-,-,2024010106
NAGASANDRA 20 MLD,2024-01-01 05:45:00,7.77,23.40,0.82,3.28,202.57,10.51,49.73,6.19,3.52,-,-,-,2024010106
RAJACANAL 40 MLD,2024-01-01 05:45:00,7.67,25.10,0.86,3.4,28.28,3.47,4.02,8.05,4.13,-,-,-,2024010106
YELLAMALAPACHETTY 15 MLD,2024-01-01 05:45:00,6.88,25.49,0.51,2.04,40.73,7.45,11.03,4.96,-0.83,-,-,-,2024010106
BELLANDUR 90 MLD,2024-01-01 05:45:00,7.68,24.80,0.55,1.6,27.04,4.78,6.72,5.41,3.08,-,-,-,2024010106
DODDABELE 20 MLD,2024-01-01 05:45:00,7.02,24.40,0.85,3.6,36.88,5.69,7.45,9.88,4.21,-,-,-,2024010106
NAGASANDRA OLD 20 MLD,2024-01-01 05:45:00,7.21,16.30,1.45,2.18,498.86,8.76,441.63,0.00,6.90,-,-,-,2024010106
4MLD Cubbon Park TTP,2024-01-01 05:45:00,7.0,26.80,0.73,4.69,17.30,1.19,0.94,5.02,3.65,-,-,-,2024010106
KADABEESANAHALLI 50 MLD,2023-12-27 11:30:00,6.68,21.80,0.85,3.84,45.55,8.53,8.0,7.59,3.41,-,-,-,2024010106
STP Sarakki 5 MLD,2024-01-01 05:30:00,8.0,25.80,0.58,1.16,18.78,4.94,5.87,3.76,-,-,-,-,2024010106
Mailasandra STP 75 MLD,2024-01-01 05:45:00,7.35,23.10,4.48,7.17,45.27,7.96,18.94,14.39,-0.86,-,-,-,2024010106
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024010106
KR Puram STP 20 MLD,2024-01-01 05:45:00,7.13,23.40,1.74,3.48,88.65,5.27,157.11,12.41,1.22,-,-,-,2024010106
1.5 MLD Lalbagh TTP,2024-01-01 05:45:00,7.32,21.00,0.77,3.8,18.24,1.5,1.24,4.62,3.09,-,-,-,2024010106
35MLD Agaram STP,2024-01-01 06:00:00,7.27,24.30,0.75,3.08,29.81,5.09,4.12,6.54,-,-,-,-,2024010106
Chikka_Bagur_5_MLD_STP,2024-01-01 06:00:00,7.42,24.10,6.78,13.6,43.90,6.3,9.3,12.60,-,-,-,-,2024010106
Yelahanka 10MLD TTP,2023-12-30 09:15:00,7.4,23.00,1.63,4.65,44.90,7.2,4.2,8.99,3.11,0.20,-,-,2024010106
40MLD OLD Rajacanal STP,2024-01-01 06:00:00,7.67,22.60,1.09,1.96,25.90,6.6,7.4,6.47,3.84,0.55,-,-,2024010106
