stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
Mailasandra STP 75 MLD,2024-03-20 12:15:00,7.62,26.70,17.95,28.72,50.59,14.19,16.85,3.37,1.45,-,-,-,2024032013
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024032013
KR Puram STP 20 MLD,2024-03-20 12:15:00,6.9,27.00,3.66,7.32,60.53,14.19,33.83,8.47,0.17,-,-,-,2024032013
1.5 MLD Lalbagh TTP,2024-03-20 12:15:00,7.08,33.50,0.5,2.42,18.54,1.48,1.0,6.58,8.77,-,-,-,2024032013
35MLD Agaram STP,2024-03-20 12:00:00,7.3,28.30,0.64,2.62,29.93,5.11,3.52,6.57,-,-,-,-,2024032013
Chikka_Bagur_5_MLD_STP,2024-03-20 12:30:00,7.68,27.40,1.17,2.30,43.60,7.0,7.4,14.00,-,-,-,-,2024032013
Yelahanka 10MLD TTP,2024-03-20 12:45:00,7.37,24.60,0.0,-,36.80,5.9,5.6,7.36,14.74,0.23,-,-,2024032013
40MLD OLD Rajacanal STP,2024-03-20 13:00:00,7.46,25.70,1.25,2.25,26.40,8.2,10.7,6.60,3.73,0.62,-,-,2024032013
Hennur 1MLD TTP,2024-02-29 09:15:00,7.56,26.40,0.44,0.66,18.90,1.6,4.0,4.95,4.72,0.09,-,-,2024032013
4_MLD_Madiwala_STP,2024-03-20 12:30:00,7.56,27.30,1.63,4.70,35.10,4.87,4.09,8.77,-,-,-,-,2024032013
150MLD STP_K&C valley,2024-03-20 11:30:00,7.1,-,1.04,5.73,-,4.5,9.69,-,-,0.98,-,-,2024032013
20Mld KR Puram STP New,2024-03-19 09:00:00,0.0,-,0.0,0.00,0.00,0.0,0.0,0.00,-,-,3.49,4.38,2024032013
