stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2022-09-30 23:15:00,7.34,26.50,0.39,1.75,30.20,2.10,4.0,6.04,3.81,2022100100
CHIKKABANAVARA 5 MLD,2022-10-01 00:00:00,7.27,26.50,0.63,3.90,38.57,7.90,10.5,14.77,3.50,2022100100
KADUGODI 6 MLD STP,2022-10-01 00:00:00,7.67,25.40,0.70,2.30,52.94,19.64,9.6,17.82,4.37,2022100100
HORAMAVU 20 MLD,2022-09-30 23:30:00,7.45,26.60,0.59,5.80,27.82,6.60,7.75,8.58,2.95,2022100100
K AND C VALLEY 60 MLD,2022-09-26 17:15:00,7.3,27.20,0.42,3.50,53.92,0.00,17.51,6.91,-,2022100100
NAGASANDRA 20 MLD,2022-09-30 23:00:00,7.07,27.20,0.51,5.20,44.88,4.49,10.4,9.10,4.09,2022100100
RAJACANAL 40 MLD,2022-09-30 23:15:00,7.06,26.30,0.96,3.30,29.62,3.76,5.28,8.38,4.59,2022100100
YELLAMALAPACHETTY 15 MLD,2022-10-01 00:00:00,7.12,26.20,0.22,1.20,33.80,5.42,5.85,4.99,-,2022100100
BELLANDUR 90 MLD,2022-09-30 23:00:00,7.51,26.30,0.42,0.50,26.84,3.83,9.17,8.11,-,2022100100
DODDABELE 20 MLD,2022-09-30 23:45:00,7.25,26.40,0.15,2.40,39.02,6.90,7.5,12.37,5.66,2022100100
MALLATHALLI 5 MLD,2022-09-30 22:50:00,7.43,27.10,1.34,3.35,19.21,2.02,13.14,10.08,4.02,2022100100
NAGASANDRA OLD 20 MLD,2022-09-30 23:30:00,6.71,25.50,1.30,1.95,58.62,7.56,46.46,6.95,12.50,2022100100
4MLD Cubbon Park TTP,2022-10-01 00:00:00,7.05,27.40,0.91,4.66,17.30,1.16,0.92,5.02,3.64,2022100100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.0,-,-,2022100100
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.00,0.00,0.0,-,-,2022100100
KADABEESANAHALLI 50 MLD,2022-09-28 15:30:00,7.84,25.10,0.73,3.65,70.85,10.65,27.37,9.31,5.49,2022100100
STP Sarakki 5 MLD,2022-10-01 00:00:00,6.62,27.50,-,-,18.78,4.94,6.08,3.76,-,2022100100
Kempambudhi STP 1 MLD,2022-09-30 23:15:00,7.18,23.10,0.54,5.45,25.42,3.94,5.95,5.91,2.42,2022100100
Mailasandra STP 75 MLD,2022-09-30 23:00:00,7.8,23.30,1.21,0.61,40.10,8.78,9.77,4.46,0.51,2022100100
60 MLD V.Valley TTP,2022-09-30 20:15:00,7.65,25.80,3.92,12.54,-,-,5.61,-,4.59,2022100100
KR Puram STP 20 MLD,2022-09-30 23:45:00,7.25,24.80,0.60,1.20,44.77,6.27,18.91,9.15,1.83,2022100100
1.5 MLD Lalbagh TTP,2022-10-01 00:00:00,7.48,22.00,0.57,2.85,17.60,1.41,0.9,4.82,6.90,2022100100
35MLD Agaram STP,2022-10-01 00:00:00,7.0,27.60,2.58,10.58,39.00,2.30,24.1,2.07,-,2022100100
Chikka_Bagur_5_MLD_STP,2022-09-30 23:08:00,7.55,27.10,-,-,44.90,4.90,14.0,9.80,-,2022100100
2MLD Ulsoor STP,2022-10-01 01:00:00,7.34,26.40,0.38,1.71,30.40,2.10,4.00,6.08,3.68,2022100101
CHIKKABANAVARA 5 MLD,2022-10-01 01:00:00,7.24,26.40,0.63,3.90,38.55,7.89,10.48,14.75,3.36,2022100101
KADUGODI 6 MLD STP,2022-10-01 00:00:00,7.67,25.40,0.70,2.30,52.94,19.64,9.60,17.82,4.37,2022100101
HORAMAVU 20 MLD,2022-10-01 00:45:00,7.44,26.50,0.59,5.90,27.84,6.61,7.81,8.61,2.95,2022100101
K AND C VALLEY 60 MLD,2022-09-26 17:15:00,7.3,27.20,0.42,3.50,53.92,0.00,17.51,6.91,-,2022100101
NAGASANDRA 20 MLD,2022-10-01 01:00:00,7.07,27.20,0.50,5.20,44.95,4.53,10.21,9.25,4.08,2022100101
RAJACANAL 40 MLD,2022-10-01 00:45:00,7.06,26.30,0.96,3.30,29.63,3.76,5.29,8.38,4.59,2022100101
YELLAMALAPACHETTY 15 MLD,2022-10-01 01:00:00,7.19,26.10,0.23,1.20,33.78,5.41,5.76,4.99,-,2022100101
BELLANDUR 90 MLD,2022-10-01 01:00:00,7.53,26.20,0.42,0.50,26.92,3.77,9.45,8.04,-,2022100101
DODDABELE 20 MLD,2022-10-01 00:15:00,7.24,26.40,0.15,2.40,38.97,6.93,7.44,12.38,5.50,2022100101
MALLATHALLI 5 MLD,2022-09-30 22:50:00,7.43,27.10,1.34,3.35,19.21,2.02,13.14,10.08,4.02,2022100101
NAGASANDRA OLD 20 MLD,2022-10-01 01:00:00,7.06,22.10,1.67,2.50,58.59,7.40,46.33,6.39,25.32,2022100101
4MLD Cubbon Park TTP,2022-10-01 01:00:00,7.03,27.20,0.91,4.67,17.30,1.17,0.92,5.02,3.64,2022100101
